16:59:25 (00:00:10) (chat)  svh_kalmar: BSUFlick
23:29:18 (06:30:03) (chat)  MrLo0t: Хорош
23:29:19 (06:30:04) (chat)  dearlorens: настолько хорош
23:29:20 (06:30:04) (chat)  dark_eastwood: Ты настолько хорош
23:29:20 (06:30:05) (chat)  mamaybarmaley5bclass: Ты слишком хорош
23:29:20 (06:30:05) (chat)  Angry_arctic_fox: Нет.
23:29:21 (06:30:05) (chat)  syler19839: Ты хорош.
23:29:21 (06:30:06) (chat)  nezanyanyatiynik: Читер
23:29:21 (06:30:06) (chat)  Maxonson888: Хорош!!!
23:29:22 (06:30:06) (chat)  Albatros128: Ломается сначала контейнер, а потом груз
23:29:23 (06:30:07) (chat)  anna_malkova: как исус играешь
23:29:23 (06:30:07) (chat)  EleonoraTheOwl: хорош
23:29:23 (06:30:07) (chat)  Daredo_: pepeLaugh
23:29:23 (06:30:08) (chat)  maksolig: жалость
23:29:23 (06:30:08) (chat)  DDsage: хорош
23:29:25 (06:30:09) (chat)  Sempai_Molodoy: ты великолепен !
23:29:26 (06:30:10) (chat)  napk1n__: Это остальные настоллько плохи Kappa
23:29:26 (06:30:10) (chat)  Chebak87: ТЫ Плох))
23:29:26 (06:30:10) (chat)  mackupp: умен
23:29:26 (06:30:10) (chat)  ShamelessLiar: С
23:29:26 (06:30:10) (chat)  NEXUS_696: bufaMLG bufaMLG bufaMLG bufaMLG bufaMLG bufaMLG bufaMLG bufaMLG bufaMLG
23:29:26 (06:30:11) (chat)  Roorm: настолько хорош
23:29:27 (06:30:11) (chat)  aire_19: Clap хорош
23:29:27 (06:30:11) (chat)  ZeeWanderer_: bufaMLG bufaMLG
23:29:27 (06:30:12) (chat)  ganelonn: @BlackUFA на харде ходить надо на 4 часа дольше
23:29:28 (06:30:12) (chat)  kerich518: bufaMLG bufaMLG bufaMLG bufaMLG bufaMLG bufaMLG bufaMLG bufaMLG
23:29:28 (06:30:12) (chat)  frusyazavra: чат, это у меня проблемы с инетом или у всех лаги?
23:29:28 (06:30:12) (chat)  narkotik43: игра изи прост
23:29:28 (06:30:12) (chat)  King__Crimson_: Ты плох
23:29:28 (06:30:12) (chat)  Demonic_smile: ты умничка Keepo
23:29:29 (06:30:13) (chat)  grafRos: @Severnaya_Utka угу)))
23:29:29 (06:30:13) (chat)  Zmeigo: ты криволап
23:29:29 (06:30:13) (chat)  ArthurDistone: А он хорош ammoDEWAY ammoDEWAY ammoDEWAY
23:29:29 (06:30:13) (chat)  torikulikova: bufaMLG bufaMLG bufaMLG
23:29:29 (06:30:13) (chat)  DedVonzai: тебя жалко им просто
23:29:29 (06:30:13) (chat)  brujadeamor: не хард
23:29:29 (06:30:13) (chat)  delpel1104: НЕЬ
23:29:29 (06:30:13) (chat)  chasingecho: нет
23:29:29 (06:30:14) (chat)  Pirozhok_c_Myasom: ASS
23:29:30 (06:30:14) (chat)  Arhiteck: предзаказ проплачено
23:29:30 (06:30:14) (chat)  born_to_extend_evil: ты не хорош
23:29:30 (06:30:14) (chat)  dee_wheatenhead: МЛЖ
23:29:30 (06:30:14) (chat)  yakoff_88: просто ты хорош
23:29:30 (06:30:15) (chat)  artemius1334: пойдет
23:29:30 (06:30:15) (chat)  zaricad: хорооооош
23:29:30 (06:30:15) (chat)  N1ghtingale__: Это не хард Kappa
23:29:31 (06:30:15) (chat)  Cat_Remington: ты хорош
23:29:31 (06:30:15) (chat)  KpuBopy4ka_: Малаца
23:29:31 (06:30:15) (chat)  aydengoldru: Хорош
23:29:31 (06:30:15) (chat)  TanyRyze: просто хорош tanyryNya
23:29:31 (06:30:16) (chat)  mayzer1977: Хорош
23:29:31 (06:30:16) (chat)  redrum_blaze: Хорош
23:29:32 (06:30:16) (chat)  Dellay1: это скрипт
23:29:32 (06:30:16) (chat)  Flamingowithax: Clap Хорош
23:29:32 (06:30:16) (chat)  De_Neero: Хорош!
23:29:32 (06:30:16) (chat)  groovychuvi: все куплено
23:29:32 (06:30:17) (chat)  AnyLoo: Просто ты элитный грузчик @BlackUFA
23:29:32 (06:30:17) (chat)  NotAToxic: неплохо
23:29:33 (06:30:18) (chat)  FreedomOnlyDream: Тебя просто жалеют
23:29:33 (06:30:18) (chat)  WiseDolphin321: харош
23:29:35 (06:30:19) (chat)  Omenosa: @BlackUFA просто тебе везет=)
23:29:35 (06:30:19) (chat)  ahriismy: С KEKWLUL
23:29:35 (06:30:20) (chat)  unsub_unit: С - супер LUL LUL LUL
23:29:36 (06:30:20) (chat)  XsizR: Clap
23:29:36 (06:30:21) (chat)  lizok_kuriniy_sosok: молодец!!!
23:29:37 (06:30:21) (chat)  TomatoAlicorn: !time
23:29:37 (06:30:21) (chat)  delpel1104: ты не хорош
23:29:37 (06:30:21) (chat)  777TRINITROTOLUENE777: ну хорош же!)
23:29:37 (06:30:22) (chat)  Nightbot: Передаем в СВЧ-диапазоне уже 6 hours 30 minutes 32 seconds
23:29:37 (06:30:22) (chat)  Stake00xz: @BlackUFA Это хард просто, не зазнавайся Kappa
23:29:38 (06:30:22) (chat)  YuraDaim: @BlackUFA слишком хорош ASS gachiBASS
23:29:38 (06:30:22) (chat)  whatsupmel: BSUTrolled Clap артурка маладэц
23:29:38 (06:30:22) (chat)  zashibulko: Артур ты молодец Clap
23:29:38 (06:30:22) (chat)  sudorogi_opossuma: ты прекрасен
23:29:38 (06:30:22) (chat)  dnegreanuaaa: хороший как ак 74
23:29:38 (06:30:22) (chat)  blackjack9711: BSUFlick BSUFlick BSUBesit
23:29:38 (06:30:22) (chat)  sheotrics: @BlackUFA просто ты хорош и умел
23:29:38 (06:30:22) (chat)  romanticstory: стримлер молодец
23:29:38 (06:30:23) (chat)  Gr0mmasch: @BlackUFA Разве могужет быть стрэмер настолько хорош
23:29:39 (06:30:23) (chat)  syler19839: Хорош Kappa
23:29:39 (06:30:23) (chat)  zloitapok27: bufaMLG bufaMLG bufaMLG bufaMLG bufaMLG bufaMLG
23:29:39 (06:30:24) (chat)  Yznik_Kabana: Лучший! BloodTrail
23:29:39 (06:30:24) (chat)  synestasija: Как же он хорош! PogChamp
23:29:40 (06:30:24) (chat)  HateMan: опять поломал игру
23:29:40 (06:30:25) (chat)  lipuchkar: Эпичен и бесподобен!
23:29:40 (06:30:25) (chat)  Cucumber_Duck: Красава стримлер
23:29:41 (06:30:25) (chat)  Roorm: bufaMLG bufaMLG bufaMLG
23:29:41 (06:30:25) (chat)  slesar523: Боже да ты крут
23:29:43 (06:30:27) (chat)  minnor80: Артур ты бесконечно хорош
23:29:43 (06:30:28) (chat)  Maxonson888: Squid1 Squid2 Squid3 Squid2 Squid4
23:29:44 (06:30:28) (chat)  Saundveyve: Артурочка,ты более чем хорош :з
23:29:44 (06:30:28) (chat)  Lamr001: Ну так ты же носильщик SeemsGood SeemsGood
23:29:45 (06:30:29) (chat)  AlukardX2: просто крут
23:29:45 (06:30:29) (chat)  SmallNaVI: А ты хорош
23:29:45 (06:30:29) (chat)  Cat_Remington: bufaMLG bufaMLG bufaMLG
23:29:45 (06:30:30) (chat)  mark_zeus: Ты лучший!
23:29:46 (06:30:30) (chat)  msanfeya: Молодец
23:29:47 (06:30:31) (chat)  Hyperion457: игра сломана KEKWLUL
23:29:47 (06:30:32) (chat)  Funvit: а ты перспективен! @BlackUFA
23:29:48 (06:30:32) (chat)  DDsage: bufaMLG bufaMLG
23:29:48 (06:30:33) (chat)  ri_ekhart_Shepard: bufaMLG bufaMLG bufaMLG
23:29:49 (06:30:33) (chat)  Nusonka: <3 <3 <3
23:29:49 (06:30:34) (chat)  AlmightyPuding: @BlackUFA Там в интервью есть док где пишут почему тебя хвалят LUL
23:29:50 (06:30:34) (chat)  delpel1104: это жалость
23:29:50 (06:30:34) (chat)  grafRos: @BlackUFA МОЛОДЕЦ.
23:29:50 (06:30:34) (chat)  SaD_AleX: @BlackUFA ты бог дальше не придумать
23:29:52 (06:30:36) (chat)  razorlance02: Ну еслиб не C то похвалил
23:29:52 (06:30:36) (chat)  Dyuringrorinson4: Артурка молодец
23:29:54 (06:30:38) (chat)  zombie_dima: как же ты хорош
23:29:55 (06:30:39) (chat)  prt1zn: Играешь как бог Kappa
23:29:56 (06:30:41) (chat)  maksolig: из жалости
23:29:58 (06:30:42) (chat)  honest_star: @BlackUFA у тебя не хард а сложно стоит
23:29:58 (06:30:42) (chat)  sheotrics: bufaRage bufaMLG
23:29:58 (06:30:42) (chat)  maikeru_stranger: С молодец
23:29:58 (06:30:42) (chat)  dee_wheatenhead: Прекрасный игрок
23:29:58 (06:30:42) (chat)  Maxonson888: CurseLit CurseLit
23:29:58 (06:30:43) (chat)  SantaJuggernaut: Перспективный НаСиЛьНиК %)
23:30:00 (06:30:44) (chat)  time___flies: Это не Юг, а Север ! Аптип)
23:30:00 (06:30:44) (chat)  yaritez: Лучший
23:30:01 (06:30:45) (chat)  takPosmotrim: кадзима просто оценки перепутал
23:30:01 (06:30:45) (chat)  HeisYenberg: адресат, это режиссер зомби по имени шон
23:30:01 (06:30:46) (chat)  KeylorReyzer: Кажется
23:30:02 (06:30:46) (chat)  odinokayaseledka: все настолько плохо, что уже хорошо
23:30:02 (06:30:46) (chat)  Kano27: Да игра просто легкая Kappa
23:30:02 (06:30:46) (chat)  KarishaArchitect: bufaMLG bufaMLG bufaMLG bufaMLG bufaMLG bufaMLG
23:30:03 (06:30:47) (chat)  Demonic_smile: богоподобен
23:30:03 (06:30:47) (chat)  Pest_74: С- ты просто космос
23:30:03 (06:30:47) (chat)  HateMan: нет
23:30:03 (06:30:48) (chat)  slesar523: Если бога нет то кто ты?!
23:30:03 (06:30:48) (chat)  Ithakva: Йоу народ ас тримлер знает что груз чинить можно?
23:30:05 (06:30:49) (chat)  TomatoAlicorn: S- Sugee
23:30:05 (06:30:50) (chat)  Snowkr: Артурка молодес
23:30:07 (06:30:51) (chat)  irikost: было 6
23:30:07 (06:30:51) (chat)  MsFirehawk: по-моему столько же
23:30:07 (06:30:52) (chat)  nagarashi_aino: Кажется
23:30:07 (06:30:52) (chat)  DedVonzai: всё норм
23:30:08 (06:30:53) (chat)  syler19839: Кажется
23:30:10 (06:30:54) (chat)  dearlorens: а сколько надо?
23:30:10 (06:30:55) (chat)  zaricad: @blackufa ты пусик
23:30:11 (06:30:55) (chat)  igorchel22: YOU ARE BREATHTAKING!! :) :)
23:30:12 (06:30:56) (chat)  Phe0wlniX: кажеться
23:30:14 (06:30:58) (chat)  Nightbot: Архив трансляций на юпупе: https://www.youtube.com/user/BlackSilverChannel
23:30:14 (06:30:59) (chat)  rusant: Не убавляется
23:30:16 (06:31:00) (chat)  anna_malkova: не их всегда шесть
23:30:17 (06:31:01) (chat)  deargbleidd27: как ты хорош <3 Kreygasm
23:30:18 (06:31:02) (chat)  Severnaya_Utka: @nagarashi_aino, К сожалению тут вы более чем правы) Раньше ведь мало кто Верил в Красных, особенно до выхода Ведьмака 3) А тут вот они возьмись и сделай топовые вещи) ...А Балдурс Гейт разве делали не Биовары? Или я уже совсем ту-ту?
23:30:18 (06:31:02) (chat)  colbin36: Артур, а почему мы не видим персоонажей, а только их голограммы? @BlackUFA
23:30:20 (06:31:04) (chat)  DonnyKat: Кажется
23:30:20 (06:31:05) (chat)  ArcKost: а было?
23:30:21 (06:31:05) (chat)  Demonic_smile: @karishaarchitect Jebaited что ты хотела?
23:30:22 (06:31:06) (chat)  i_michaelis_i: кажется
23:30:24 (06:31:08) (chat)  Dellay1: 6 и было всегда
23:30:25 (06:31:09) (chat)  alexgo2025: Ребят, я отходил на 30 мин, скажите пожалуйста - были катсцены или что то важное?
23:30:25 (06:31:09) (chat)  Zerugadis: @BlackUFA колдун ебу@q
23:30:28 (06:31:12) (chat)  OwLneverSIeep: флексит
23:30:29 (06:31:13) (chat)  DedVonzai: гениально
23:30:38 (06:31:22) (chat)  nagarashi_aino: На них кстати уровнения на этих жетонах)
23:30:38 (06:31:23) (chat)  Albatros128: Pog
23:30:40 (06:31:24) (chat)  meppopucm: А Сэм так носильщик
23:30:40 (06:31:24) (chat)  Daredo_: Pog
23:30:40 (06:31:24) (chat)  tan4ik_2: Круг это гениально
23:30:48 (06:31:32) (chat)  infrablossom: вааааау
23:30:56 (06:31:41) (chat)  AnyLoo: @colbin36 они не выходят из убежищ, чтобы не попадать под влияние дерьма на улице)
23:30:56 (06:31:41) (chat)  JmixM: Принёс бутербродов с рыбкой, мандаринки и чай. dwillisGazm
23:30:56 (06:31:41) (chat)  demonu4cv: парирование PogChamp
23:30:58 (06:31:42) (chat)  DDsage: пингуют bufaPride
23:30:59 (06:31:43) (chat)  vladiskor_tw: Гениально
23:30:59 (06:31:43) (chat)  honest_star: новый член)))
23:31:00 (06:31:44) (chat)  NEXUS_696: bufaKojimaGenius
23:31:01 (06:31:45) (chat)  DedVonzai: парирование?
23:31:03 (06:31:47) (chat)  litibiq: мы щас тут все подключим, а потом окажется что мы тоолько всех подставили
23:31:04 (06:31:48) (chat)  Direxfull: Парирование
23:31:05 (06:31:49) (chat)  sheotrics: @BlackUFA ну а если серьезно, пока ты лучше всех играешь в эту игру (из тех кого видел из русских стримеров)
23:31:06 (06:31:51) (chat)  Roorm: Pog МАМА спасибо тебе
23:31:06 (06:31:51) (chat)  veselyi_gekkon: @BlackUFA У меня есть версия насчёт Тварей, возможно, кто - то уже говорил. Когда они кого - то похищают, его как бы "тянет" в небо, поднимает, а сами Твари приходят " с неба". Возможно, наш мир для них как бы "вверху". Шов, в который попадал Сэм, похож на озеро или реку. И всякий раз, когда герой "всплывает", он возрождается. То есть, возможно, Твари как бы "на дне" озера, на дне Шва, а мы для них поверхность. Они забирают людей к себе, подплыв к поверхности.
23:31:10 (06:31:55) (chat)  MsFirehawk: блин, за весь день от летящего чата глаза вытекают %)
23:31:12 (06:31:56) (chat)  anna_malkova: вобще темпоральные фермеры звучит как то мощнее чем перспективный носильщик
23:31:12 (06:31:57) (chat)  minnor80: сюжет
23:31:13 (06:31:58) (chat)  chasingecho: додж
23:31:17 (06:32:01) (chat)  Gabriellena: их и было 5 ало
23:31:22 (06:32:06) (chat)  UnfeelingSoul: Чат, ни у кг нет проблем с ошибкой 2000?
23:31:23 (06:32:08) (chat)  Gidof: + ГМО
23:31:29 (06:32:13) (chat)  colbin36: @AnyLoo спасибо бро)
23:31:36 (06:32:20) (chat)  Severnaya_Utka: @msfirehawk, А представь какого модерам х)
23:31:37 (06:32:21) (chat)  KeylorReyzer: !time
23:31:37 (06:32:22) (chat)  Nightbot: Передаем в СВЧ-диапазоне уже 6 hours 32 minutes 32 seconds
23:31:42 (06:32:26) (chat)  dark_eastwood: @BlackUFA А прикинь, если будет как в Days Gone: ходишь, изучаешь такую Америку и тут бац, ещё по целому континенту PogChamp
23:31:43 (06:32:27) (chat)  ArcKost: потом будет антиподавитель сканера и подавитель антиподавителя сканера
23:31:48 (06:32:32) (chat)  nagarashi_aino: Да, поэтому я удивилась что анонсировали ее Лорианы, мы даже на одном стриме трейлер смотрели)
23:31:53 (06:32:37) (chat)  dmitrymoddex: !игра
23:31:54 (06:32:38) (chat)  VordumIV: Новый член UCA это как СВЧ?
23:31:54 (06:32:38) (chat)  RiflerEve: @UnfeelingSoul раз в день стабильно бывает
23:31:55 (06:32:39) (chat)  Roorm: @BlackUFA Артур как нибудь построй убежище от дождя, музыку там можно слушать вроде
23:31:58 (06:32:42) (chat)  MsFirehawk: @Severnaya_Utka да ужас. причём второй день подряд, жесть
23:32:01 (06:32:45) (chat)  lord_aluckard: вспоминается "Темпоральный агент Жека Воробьёв" - кто в теме, тот поймёт
23:32:05 (06:32:49) (chat)  OwLneverSIeep: ГМО мутантопшеница
23:32:07 (06:32:51) (chat)  prt1zn: Игра короче про доставщиков и фермеров Kappa
23:32:07 (06:32:52) (chat)  Demonic_smile: а где эти люди находятся?
23:32:10 (06:32:54) (chat)  nagarashi_aino: @Severnaya_Utka Да, поэтому я удивилась что анонсировали ее Лорианы, мы даже на одном стриме трейлер смотрели)
23:32:10 (06:32:54) (chat)  Nightbot: Хочешь стать частью самого дружелюбного Discord-сообщества на твиче? (6000+ сексуальных людей!) Вступай в наш клуб: https://discordapp.com/invite/bsndw
23:32:15 (06:32:59) (chat)  Albatros128: И шо, больше не надо будет жрать тихоходок? Pog
23:32:18 (06:33:02) (chat)  DedVonzai: в это время в России люди аппокалипсиса вобще не заметили
23:32:22 (06:33:06) (chat)  LegionPrimme: Качество галаграмы меняется при подключении к сети
23:32:24 (06:33:08) (chat)  TheDrHax: ГМО топ SeemsGood
23:32:25 (06:33:10) (chat)  crimsonfury: это гост
23:32:31 (06:33:15) (chat)  Korovkin_Egor: Ружьё ржавеет)
23:32:34 (06:33:18) (chat)  maemicorvo: чего-то есть захотелось
23:32:34 (06:33:18) (chat)  YouKtot: WeirdChamp Артур ты молодец Clap
23:32:34 (06:33:18) (chat)  eridu_: будем ли в конце прорабом носильщиком
23:32:35 (06:33:20) (chat)  JmixM: Скольк уже узлов подключено?
23:32:35 (06:33:20) (chat)  ShamelessLiar: так гмо продукты не несут вреда
23:32:39 (06:33:24) (chat)  Roorm: @albatros128, кажись да Pog
23:32:43 (06:33:27) (chat)  FluttyProger: Темпоральное ГМО
23:32:46 (06:33:30) (chat)  nezanyanyatiynik: ОМГ
23:32:50 (06:33:34) (chat)  prt1zn: Тем временем в Омске люди живут как и жили Kappa
23:32:50 (06:33:34) (chat)  Severnaya_Utka: @nagarashi_aino, Меня скорее всего тогда даже не было на стриме) Ну раз так, то возможно их не заданете судьба других игр Биоваров) Хотя возможно последние на правах создателей свою лепту внесут 3:
23:32:51 (06:33:36) (chat)  wxx2000: Kreygasm Kreygasm Kreygasm Kreygasm
23:32:52 (06:33:36) (chat)  OwLneverSIeep: pepeLaugh
23:32:52 (06:33:36) (chat)  SaD_AleX: пальмового масла пожрем пока
23:32:53 (06:33:38) (chat)  Roorm: а пушка та заржавела
23:32:54 (06:33:39) (chat)  DedVonzai: может хоть благодаря дождю до пенсии дожить сможем
23:32:54 (06:33:39) (chat)  TheDrHax: LUL
23:32:57 (06:33:41) (chat)  whatsupmel: LULWW
23:32:58 (06:33:42) (chat)  DaSilvaRage: Темпоральное ГМО
23:32:59 (06:33:44) (chat)  Daredo_: OMEGALUL
23:33:01 (06:33:45) (chat)  absurd909: спреем обработай
23:33:03 (06:33:48) (chat)  Saundveyve: LUL LUL LUL
23:33:05 (06:33:49) (chat)  HateMan: KEKW
23:33:05 (06:33:49) (chat)  JmixM: -спина
23:33:05 (06:33:49) (chat)  TheDrHax: KEKW
23:33:05 (06:33:49) (chat)  vladiskor_tw: ахахахахах
23:33:05 (06:33:49) (chat)  HainLINE: WutFace WutFace
23:33:06 (06:33:50) (chat)  aire_19: BSUStr
23:33:06 (06:33:51) (chat)  stirbutnotshake: хиральное ГМО, чат, смишно?
23:33:07 (06:33:51) (chat)  Tomchat: В дверь не войдешь)
23:33:07 (06:33:51) (chat)  dark_eastwood: LUL LUL LUL LUL LUL
23:33:07 (06:33:51) (chat)  UnfeelingSoul: @RiflerEve раз в пару минут вылетает. PepeWhy
23:33:08 (06:33:52) (chat)  Demonic_smile: bufaScary
23:33:08 (06:33:52) (chat)  Nightbot: Подписаться с мобилы: https://subs.twitch.tv/blackufa
23:33:08 (06:33:52) (chat)  narkotik43: WeirdChamp
23:33:08 (06:33:52) (chat)  YuraDaim: KEKWLUL
23:33:09 (06:33:53) (chat)  DedVonzai: изверг
23:33:09 (06:33:53) (chat)  4221: LUL LUL
23:33:09 (06:33:53) (chat)  DDsage: WutFace
23:33:10 (06:33:54) (chat)  Severnaya_Utka: @msfirehawk, Так и живём)) А когда Е3, закачаешься)
23:33:11 (06:33:56) (chat)  FaCkEm0uT: Такое чувство, что мы готовим все это для захвата другими людьми. И Дай Хардмен это знает
23:33:14 (06:33:58) (chat)  1annexa1: bufaScary bufaScary bufaScary bufaShocked
23:33:14 (06:33:58) (chat)  RevHull: Сколько раз они сказали темпаральный?
23:33:14 (06:33:58) (chat)  Dellay1: в дверь не пройдёшь @BlackUFA
23:33:15 (06:33:59) (chat)  veselyi_gekkon: @BlackUFA Этим можно объяснить, почему люди видят следы в виде ладоней, когда приходят Твари. Они практически на руках ходят. Всё равно, что подплыть со дна к поверхности и водить по ней руками. Мы как бы "вверх ногами" для тварей, а они для нас.
23:33:15 (06:33:59) (chat)  GimliEpt: KEKWLUL
23:33:16 (06:34:00) (chat)  alter_67: KEKWLUL
23:33:16 (06:34:00) (chat)  Maxonson888: аах, похоже на несварение LUL
23:33:16 (06:34:01) (chat)  KarishaArchitect: мы сейчас с места не сдвинемся
23:33:16 (06:34:01) (chat)  nerpa_lutaya: Насяльника верни паспорт BibleThump
23:33:19 (06:34:03) (chat)  Respya: LUL
23:33:21 (06:34:05) (chat)  wickated: что там происходит, у меня звук без картинки
23:33:24 (06:34:08) (chat)  dark_eastwood: Уже привык, не страшно
23:33:24 (06:34:09) (chat)  Higatir: bufaShocked
23:33:25 (06:34:09) (chat)  zloitapok27: bufaPride bufaPride bufaPride bufaPride bufaPride bufaPride bufaPride
23:33:27 (06:34:11) (chat)  meppopucm: Алиекспресс блен заказы @blackufa
23:33:28 (06:34:12) (chat)  aire_19: LULWW
23:33:29 (06:34:14) (chat)  OwLneverSIeep: pepeLaugh
23:33:35 (06:34:19) (chat)  DDsage: он построил вавилон на своих плечах WutFace
23:33:44 (06:34:28) (chat)  l2f_casper: тут обычная дверь алло Kappa
23:33:44 (06:34:28) (chat)  eridu_: gachiBASS больще ящиков
23:33:45 (06:34:29) (chat)  grumee: а в чём смисол игры?
23:33:45 (06:34:30) (chat)  h2mandeath: может генератор тут сделать?
23:33:50 (06:34:35) (chat)  GOBY_kk: Будь
23:33:51 (06:34:35) (chat)  TheDrHax: Роад раш
23:33:52 (06:34:36) (chat)  redrum_blaze: Будь Здоров
23:33:52 (06:34:37) (chat)  NotAToxic: D:
23:33:52 (06:34:37) (chat)  DedVonzai: будь
23:33:53 (06:34:37) (chat)  Stake00xz: будь
23:33:53 (06:34:37) (chat)  prt1zn: Будь
23:33:53 (06:34:38) (chat)  whatsupmel: BSUStr
23:33:53 (06:34:38) (chat)  vladiskor_tw: Будь
23:33:53 (06:34:38) (chat)  Respya: Будь здоров!
23:33:53 (06:34:38) (chat)  little_mary27: Будь здоров
23:33:54 (06:34:38) (chat)  AlukardX2: будь
23:33:54 (06:34:38) (chat)  MsFirehawk: бдздрв
23:33:54 (06:34:38) (chat)  KeylorReyzer: Будь
23:33:54 (06:34:38) (chat)  JmixM: Будь
23:33:54 (06:34:38) (chat)  OwLneverSIeep: SoRage
23:33:54 (06:34:38) (chat)  Albatros128: Будь
23:33:54 (06:34:38) (chat)  distalanted: -уши
23:33:54 (06:34:39) (chat)  Maxonson888: будь
23:33:54 (06:34:39) (chat)  nightlancerx: будь
23:33:55 (06:34:39) (chat)  desssee: BegWan BegWan BegWan BegWan BegWan
23:33:55 (06:34:39) (chat)  dee_wheatenhead: Будь!
23:33:55 (06:34:39) (chat)  Daredo_: будь здоров
23:33:55 (06:34:39) (chat)  narkotik43: будь
23:33:55 (06:34:39) (chat)  FasterYaY: будь
23:33:55 (06:34:39) (chat)  Ellirain: Будь
23:33:55 (06:34:39) (chat)  VellkinTwitch: будь
23:33:55 (06:34:40) (chat)  Endeverik: будь здоров
23:33:55 (06:34:40) (chat)  umka137: Будь
23:33:55 (06:34:40) (chat)  Aladaster: блесс ю
23:33:56 (06:34:40) (chat)  EssenceJESUS: будь
23:33:56 (06:34:40) (chat)  PhantomKarasik: будь здоров!
23:33:56 (06:34:41) (chat)  TomatoAlicorn: Будь сдоров
23:33:57 (06:34:41) (chat)  desperados7: Будь
23:33:57 (06:34:41) (chat)  Onekolog: будь
23:33:57 (06:34:41) (chat)  MrLo0t: Род Раш
23:33:57 (06:34:41) (chat)  Ilia_Knight: Будь здоров!
23:33:58 (06:34:42) (chat)  Jan_zizka_: Будь
23:33:58 (06:34:42) (chat)  KarishaArchitect: будь здоров
23:33:58 (06:34:42) (chat)  honest_star: !time
23:33:58 (06:34:42) (chat)  Phe0wlniX: будь
23:33:58 (06:34:43) (chat)  WiseDolphin321: будь здоров
23:33:58 (06:34:43) (chat)  Nightbot: Передаем в СВЧ-диапазоне уже 6 hours 34 minutes 53 seconds
23:33:58 (06:34:43) (chat)  Roorm: Будь Здоров
23:33:59 (06:34:43) (chat)  OSTRIYLIS: NoWay
23:33:59 (06:34:43) (chat)  infinitelifeline: Будь здоров
23:33:59 (06:34:43) (chat)  feniks1291: будь здоров
23:33:59 (06:34:43) (chat)  Tuemil: будь
23:33:59 (06:34:44) (chat)  kerich518: Будь здоров!
23:33:59 (06:34:44) (chat)  reelgoto: будь здоров семпай
23:34:00 (06:34:44) (chat)  maemicorvo: :(
23:34:00 (06:34:44) (chat)  doggy_knight: WutFace WutFace WutFace WutFace WutFace
23:34:00 (06:34:44) (chat)  bbk1234567: а че все вручную выгружает?Поддоны там рохли пандусы не?? Хайтек блин
23:34:00 (06:34:44) (chat)  Altissiya: будь
23:34:00 (06:34:44) (chat)  ren_shu_: <ELm pl;jhjd
23:34:00 (06:34:44) (chat)  grafRos: Будь здоров
23:34:01 (06:34:45) (chat)  DDsage: будь здоров
23:34:01 (06:34:45) (chat)  subnastica: bufaScary bufaScary bufaScary bufaScary
23:34:01 (06:34:46) (chat)  torikulikova: Будь здоров!
23:34:01 (06:34:46) (chat)  ganelonn: Будь
23:34:02 (06:34:46) (chat)  zaricad: будь
23:34:02 (06:34:46) (chat)  TheTypicalChat: Будь здоров <3 <3 <3
23:34:02 (06:34:46) (chat)  TealessKnight: будь
23:34:02 (06:34:47) (chat)  Demonic_smile: будь
23:34:03 (06:34:47) (chat)  mp704: Будь
23:34:03 (06:34:47) (chat)  desperados7: Не пукай
23:34:03 (06:34:47) (chat)  Severnaya_Utka: Будь)
23:34:03 (06:34:47) (chat)  eidesent: будь!
23:34:03 (06:34:48) (chat)  raiden_0024: будь здоров!
23:34:04 (06:34:48) (chat)  fake2: будь
23:34:04 (06:34:48) (chat)  h2mandeath: будь
23:34:04 (06:34:49) (chat)  TiOne21: Будь
23:34:05 (06:34:49) (chat)  ren_shu_: будь
23:34:05 (06:34:49) (chat)  korziklox: будь
23:34:05 (06:34:50) (chat)  MaK0toNiijima: судоку же камон
23:34:06 (06:34:50) (chat)  LieberTV: будь здоров
23:34:06 (06:34:50) (chat)  Catcher_of_the_wind: даже на спину кидать не надо, грузовик доступен
23:34:07 (06:34:51) (chat)  GRANDER45: ну вот, ещё одна воронка LUL
23:34:07 (06:34:51) (chat)  artemius1334: запятнал монитор
23:34:07 (06:34:51) (chat)  Saundveyve: Будь здоров!
23:34:08 (06:34:52) (chat)  aire_19: будь monkaW
23:34:08 (06:34:53) (chat)  Flamingowithax: Будь Здоров BegWan
23:34:08 (06:34:53) (chat)  Nataliazag: будь здоров
23:34:08 (06:34:53) (chat)  slesar523: Будьте здоров
23:34:09 (06:34:53) (chat)  veselyi_gekkon: Будь здоров.
23:34:09 (06:34:53) (chat)  absurd909: Артур, кажись, не нужно с машины забирать на себя, меню грузовика и так доступно
23:34:09 (06:34:53) (chat)  Higatir: Будь здоров
23:34:09 (06:34:53) (chat)  subnastica: будь
23:34:09 (06:34:54) (chat)  gallagher1113: Будь здоров, Аптип
23:34:10 (06:34:54) (chat)  ri_ekhart_Shepard: будь здоров
23:34:11 (06:34:55) (chat)  black_BURAVCHIK: не будь лапшой
23:34:12 (06:34:56) (chat)  DaSilvaRage: bufaMLG
23:34:12 (06:34:56) (chat)  zombie_dima: будь здоров
23:34:12 (06:34:57) (chat)  enotata_: PowerUpL SabaPing PowerUpR
23:34:13 (06:34:57) (chat)  OwLneverSIeep: делать пуки?
