03:25:12 (00:00:00) (comm)  prizm199: ьр
01:47:35 (02:50:58) (chat)  deepNoiseMAx: да не криповый он, просто придуривается)
01:47:36 (02:50:58) (chat)  julia_vi1: @sTaja13 Эх, как говорится, тейк ит изи, изи герл wlgOralb
01:47:52 (02:51:15) (chat)  Est4iter: отличный актёр
01:47:55 (02:51:17) (chat)  KURT_KD: wlgWow wlgWow wlgWow wlgWow wlgWow wlgWow wlgWow wlgWow во это я отошёл
01:47:55 (02:51:17) (chat)  Ryzhayaryzhaya: @totsamyiharry фыр raeHUG
01:47:56 (02:51:18) (chat)  totsamyiharry: @fertonok та не что ты, она злбчка, она принцесса)))
01:47:56 (02:51:18) (chat)  Nicothin: Ух сейчас сырников навернул. Такие вкусныеее. Конечно не блины, но всё же wlgMug wlgDuck
01:47:57 (02:51:19) (chat)  PervyiIzKosmosa: @swampdoctor113 а как же Звездные воины
01:47:58 (02:51:20) (chat)  carbon_add: f а что крипового в Кейдже? 4HEad
01:48:04 (02:51:27) (chat)  totsamyiharry: @ryzhayaryzhaya wlgLuv wlgLuv wlgLuv
01:48:09 (02:51:31) (chat)  AlexanderRoman: Мерзлая Земля класный фильм с ним
01:48:10 (02:51:32) (chat)  profile10100: Тебе бы броню
01:48:13 (02:51:36) (chat)  profile10100: На всё
01:48:18 (02:51:40) (chat)  annylix: @carbon_add тот же вопрос)
01:48:21 (02:51:44) (chat)  carbon_add: 4Head
01:48:21 (02:51:44) (chat)  KURT_KD: @welovegames хранитель,как вам игра ?
01:48:24 (02:51:47) (chat)  SwampDoctor113: @PervyiIzKosmosa Они умерали за Империю!
01:48:26 (02:51:48) (chat)  Ryzhayaryzhaya: @profile10100 raeCute привяу
01:48:33 (02:51:55) (chat)  fertonok: @totsamyiharry а платье у неё есть?
01:48:38 (02:52:00) (chat)  profile10100: @Ryzhayaryzhaya wlgHype wlgHype wlgHype wlgPled wlgMug
01:48:38 (02:52:01) (chat)  Ryzhayaryzhaya: @KURT_KD приветь raeCute
01:48:39 (02:52:01) (chat)  totsamyiharry: @fertonok поправка, она не злючка, она принцеска
01:48:41 (02:52:03) (chat)  KURT_KD: @ryzhayaryzhaya wlg5 wlgF wlgPled wlgLuv
01:48:43 (02:52:05) (chat)  SwampDoctor113: А эти за что умирают?
01:48:44 (02:52:06) (chat)  wlgboy: скидка до 20% на продукцию ASUS. Приятных покупок с промокодом WLG по ссылке: https://vk.cc/9ivAk7
01:48:47 (02:52:09) (chat)  Nicothin: wlgOralb
01:48:47 (02:52:10) (chat)  firedron: это на ПК?
01:48:50 (02:52:12) (chat)  PervyiIzKosmosa: @swampdoctor113 но тоже не особо сопротивлялись...
01:48:51 (02:52:14) (chat)  sTaja13: @Mrs_Christ скажу по секрету, у меня даже бывший мч сбежал размахивая руками, не выдержав конкуренции с каналом ДБ LUL LUL LUL
01:48:58 (02:52:20) (chat)  Natsu2o27: @Kum7 пассивные малыши casusPeka или глупенькие, как я, у которых идей 0,0
01:48:58 (02:52:21) (chat)  Mrs_Christ: @sTaja13 А сколько годиков тебе? LurkMode
01:49:01 (02:52:23) (chat)  fertonok: @firedron да
01:49:06 (02:52:28) (chat)  OperationMadman: 🎯
01:49:06 (02:52:29) (chat)  KURT_KD: ребят как кому игруха на первый взгляд ?
01:49:06 (02:52:29) (chat)  graaaanet: @firedron да
01:49:13 (02:52:35) (chat)  firedron: спс
01:49:13 (02:52:35) (chat)  totsamyiharry: @fertonok платье есть но пока не смогли на неё одеть, у неё свои вкусы
01:49:17 (02:52:39) (chat)  Mrs_Christ: @KURT_KD Ой, мистер бабник LurkMode wlgLuv
01:49:24 (02:52:46) (chat)  SwampDoctor113: Не ребят. Эта игра исчерпала все шансы
01:49:26 (02:52:48) (chat)  graaaanet: @kurt_kd код Вэйн круче wlgHype wlg5 wlgCorn
01:49:26 (02:52:49) (chat)  KURT_KD: @fertonok @graaaanet @totsamyiharry wlgF wlg5
01:49:32 (02:52:55) (chat)  tropprop: @KURT_KD марио динамичнее
01:49:34 (02:52:57) (chat)  fertonok: @totsamyiharry какие?
01:49:36 (02:52:58) (chat)  Mrs_Christ: @sTaja13 Ой Дмитрий уже женщин отбивает PagChomp
01:49:37 (02:52:59) (chat)  Nicothin: !time
01:49:37 (02:52:59) (chat)  Nightbot: Онлайн уже 2 hours 53 minutes 9 seconds
01:49:41 (02:53:04) (chat)  fertonok: @KURT_KD привееет)
01:49:43 (02:53:05) (chat)  Nicothin: !caps
01:49:43 (02:53:05) (chat)  wlgboy: @Nicothin ваш баланс составляет 144 крышечки.
01:49:43 (02:53:06) (chat)  totsamyiharry: @kurt_kd wlgHype wlgHype wlgHype
01:49:44 (02:53:07) (chat)  Fenrisot: Fenrisot subscribed at Tier 1. They've subscribed for 16 months! wlg5 Приветик, Семпай, Чатик. Люблю вас wlgLuv wlgPled wlgEz wlgFlowers
01:49:44 (02:53:07) (chat)  Bogda123: wlgCorn wlgCorn wlgCorn
01:49:44 (02:53:07) (chat)  KURT_KD: @mrs_christ сама такая wlgSad привет wlg5 wlgPeka
01:49:46 (02:53:08) (chat)  Kum7: @natsu2o27, а ты что не написала а?а? го напиши и я потом кинул правльный ответ
01:49:49 (02:53:11) (chat)  KURT_KD: wlg5 wlg5 wlg5 wlg5 wlg5
01:49:49 (02:53:12) (chat)  deepNoiseMAx: когда русский копирует русский акцент)
01:49:49 (02:53:12) (chat)  Nicothin: wlg5 wlg5 wlg5
01:49:50 (02:53:12) (chat)  Nick_Tirone: KonCha KonCha KonCha KonCha KonCha
01:49:50 (02:53:12) (chat)  Takeshi13: wlg5 wlg5 wlg5 wlg5
01:49:50 (02:53:12) (chat)  Mrs_Christ: wlg5 wlg5 wlg5 wlg5
01:49:50 (02:53:13) (chat)  Natsu2o27: wlg5 wlg5 wlg5 wlg5 wlg5
01:49:50 (02:53:13) (chat)  profile10100: Так это район Праги?
01:49:51 (02:53:14) (chat)  PervyiIzKosmosa: wlg5 wlg5 wlg5
01:49:53 (02:53:15) (chat)  Lucky13RF: Nanomachines Pog
01:49:54 (02:53:16) (chat)  julia_vi1: wlg5 wlg5 wlg5 wlg5
01:49:56 (02:53:18) (chat)  fertonok: wlg5 wlg5 wlg5
01:49:56 (02:53:18) (chat)  annylix: wlg5 wlg5 wlg5
01:49:56 (02:53:19) (chat)  totsamyiharry: @fertonok принцесские
01:49:56 (02:53:19) (chat)  profile10100: wlgHype wlgHype wlgHype
01:49:56 (02:53:19) (chat)  Michuri4: FBCatch FBCatch FBCatch FBCatch FBCatch
01:49:57 (02:53:19) (chat)  DokerStim: wlg5 wlg5 wlg5 wlg5 wlg5 wlg5
01:49:57 (02:53:20) (chat)  SwampDoctor113: <3 <3 <3 <3 <3
01:49:59 (02:53:21) (chat)  NIKZlo: wlg5 wlg5 wlg5 wlg5
01:49:59 (02:53:22) (chat)  Bogda123: wlgCorn wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5
01:50:00 (02:53:22) (chat)  ASAGIUS: wlg5 wlg5 wlg5 wlg5 wlg5
01:50:03 (02:53:25) (chat)  Takeshi13: @fenrisot wlg5 wlgMug привет
01:50:03 (02:53:26) (chat)  BehemothDi: wlg5 wlg5 wlg5 wlg5
01:50:06 (02:53:29) (chat)  OperationMadman: wlgDen wlgDen wlgDen
01:50:06 (02:53:29) (chat)  hvatman: wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5
01:50:08 (02:53:30) (chat)  SwampDoctor113: Почтовый дрон Почты России?
01:50:10 (02:53:33) (chat)  AinoSanya: wlg5 wlg5 wlg5
01:50:11 (02:53:34) (chat)  WELOVEG4YS: привет рококоши мои любимые <3 sharkzLove
01:50:11 (02:53:34) (chat)  sTaja13: @Mrs_Christ я точно совершенолетняя LUL LUL LUL не надо боятся LUL LUL
01:50:12 (02:53:35) (chat)  Do4ka1: @WELOVEGAMES вау какая красота wlgHype wlgDance wlg5 wlgF wlgPled wlgLuv <3
01:50:14 (02:53:36) (chat)  Mrs_Christ: Денис с каждым разом все ближе к камере wlgOralb
01:50:21 (02:53:43) (chat)  Takeshi13: @weloveg4ys привет
01:50:21 (02:53:43) (chat)  bigbadtarlo: Товарищ
01:50:24 (02:53:46) (chat)  wlgboy: ВНИМАНИЕ! До конца сентября скидка 50% на подписку и переподписку! Порадуй стримера и себя! Kappa //
01:50:25 (02:53:47) (chat)  SwampDoctor113: <3 <3 <3 <3 <3
01:50:25 (02:53:48) (chat)  Do4ka1: чатик wlg5 wlgF wlgPled
01:50:26 (02:53:48) (chat)  Nick_Tirone: @weloveg4ys, KonCha
01:50:28 (02:53:51) (chat)  Nicothin: wlgThonk
01:50:29 (02:53:51) (chat)  Lyubim_: как же очевидно нежелание стримера играть
01:50:30 (02:53:52) (chat)  derumin1: Михааииилл
01:50:30 (02:53:53) (chat)  firedron: KKomrade KKomrade KKomrade
01:50:32 (02:53:54) (chat)  Natsu2o27: @Kum7 хорошо, дорогой casusPled casusLove
01:50:33 (02:53:56) (chat)  One_Inch_Ash: Миша
01:50:37 (02:53:59) (chat)  Takeshi13: @do4ka1 wlg5 wlgHype
01:50:38 (02:54:00) (chat)  palacht34: тогда ясно что он странный
01:50:40 (02:54:02) (chat)  PervyiIzKosmosa: @do4ka1 wlgFlowers
01:50:40 (02:54:03) (chat)  totsamyiharry: как неожиданно злодей русский
01:50:41 (02:54:03) (chat)  fertonok: @totsamyiharry, А Чима? какие у него вкусы?
01:50:42 (02:54:05) (chat)  Mrs_Christ: @sTaja13 Хорошо, а то 8 лет там, все дела wlgOralb
01:50:43 (02:54:05) (chat)  LightBringer347: wlgFp wlgFp wlgFp wlgFp wlgFp
01:50:43 (02:54:05) (chat)  profile10100: Акцент только у его русского
01:50:44 (02:54:06) (chat)  wlgboy: хочешь узнать, когда будет следующий стрим? Подпишись на уведомления посредством личных сообщений ВКонтакте. Это удобно! https://vk.cc/9rSVZA
01:50:46 (02:54:09) (chat)  Nicothin: KKomrade
01:50:49 (02:54:12) (chat)  julia_vi1: @Mrs_Christ Тесный контакт со зрителем wlgOralb
01:50:49 (02:54:12) (chat)  OperationMadman: The accent!!!!
01:50:50 (02:54:12) (chat)  PervyiIzKosmosa: Иван
01:50:53 (02:54:15) (chat)  Vishenka_Cherry: @do4ka1 wlg5
01:50:54 (02:54:16) (chat)  graaaanet: @mrs_christ нужно больше Дениса !!!! бооооооооольше wlgOralb wlgOralb wlgOralb
01:50:54 (02:54:17) (chat)  fertonok: Что сразу Миша
01:50:55 (02:54:17) (chat)  santimentorr: @mrs_christ да, скоро буду стримы из Дениса wlgThonk
01:50:55 (02:54:17) (chat)  Mrs_Christ: @do4ka1 Привет wlgF
01:50:55 (02:54:17) (chat)  Do4ka1: @Takeshi13 wlgHype
01:50:58 (02:54:21) (chat)  bigbadtarlo: Комрад
01:51:00 (02:54:22) (chat)  Ansaboff: Докторфизик
01:51:03 (02:54:25) (chat)  SwampDoctor113: @WELOVEGAMES Worck Harder Comrade
01:51:04 (02:54:26) (chat)  totsamyiharry: @fertonok чима любит бананы и почесушки
01:51:04 (02:54:27) (chat)  Natsu2o27: @ASAGIUS я тебя вижу Kappa ты не работаешь wlgOralb Доброго времечка wlgMug
01:51:15 (02:54:37) (chat)  AlexanderRoman: погуглил, Николас Кейдж 40 лет в кино PogChamp гора фильмов с ним, годных парочка
01:51:16 (02:54:38) (chat)  sTaja13: @Mrs_Christ не не, все проще, мне даже больше 21, могу даже в америке пить алкоголь
01:51:16 (02:54:38) (chat)  onechelo: @WELOVEGAMES Тут Русский подозрительный? А значит в плохом свете? СРОЧНО запретить игру в России срочно
01:51:17 (02:54:39) (chat)  fertonok: @totsamyiharry как и я
01:51:20 (02:54:42) (chat)  Mrs_Christ: @julia_vi1 @graaaanet @santimentorr Обмазаться
01:51:22 (02:54:44) (chat)  KURT_KD: @mrs_christ чё это я бабник wlgSad извинись wlgSad
01:51:25 (02:54:47) (chat)  Do4ka1: @PervyiIzKosmosa wlgHype
01:51:27 (02:54:49) (chat)  PervyiIzKosmosa: wlgZz wlgZz wlgZz
01:51:28 (02:54:50) (chat)  ASAGIUS: @Natsu2o27 wlg5 OpieOP
01:51:35 (02:54:57) (chat)  ferry2008: @fertonok Игра очень хороша. Посмотри как Elajazz играет сейчас, совсем по-иному выглядит.
01:51:35 (02:54:57) (chat)  Mrs_Christ: @sTaja13 О я тоже
01:51:37 (02:54:59) (chat)  Nicothin: @asagius, wlg5
01:51:38 (02:55:00) (chat)  Do4ka1: @Vishenka_Cherry wlgHype
01:51:41 (02:55:03) (chat)  Kum7: @natsu2o27, dangarLove wlgLuv wlgLuv
01:51:41 (02:55:03) (chat)  bigbadtarlo: Вангую Михаил будет главным боссом в конце игры
01:51:41 (02:55:03) (chat)  graaaanet: @mrs_christ дааааа BrokeBack
01:51:43 (02:55:06) (chat)  SwampDoctor113: Ye tckb 'nj Jvcr. nj vyjujt j,]zcyztn
01:51:44 (02:55:06) (chat)  ASAGIUS: @Nicothin wlg5
01:51:47 (02:55:09) (chat)  SwampDoctor113: Ааа
01:51:49 (02:55:11) (chat)  totsamyiharry: @fertonok вы нашли друг друга, чима ждёт в гости
01:51:50 (02:55:12) (chat)  profile10100: У тебя 2 минуты
01:51:52 (02:55:14) (chat)  OperationMadman: @asagius воу воу воу!!!!!!!!!
01:51:52 (02:55:14) (chat)  Mrs_Christ: @KURT_KD Ну ты предыдущие стримы вспомни
01:52:00 (02:55:23) (chat)  graaaanet: @swampdoctor113 будь здоров wlgDeer
01:52:07 (02:55:29) (chat)  ASAGIUS: @OperationMadman hi wlgPled
01:52:11 (02:55:34) (chat)  SwampDoctor113: Если это Омск, то это многое объясняет
01:52:13 (02:55:35) (chat)  OperationMadman: dumplingL
01:52:13 (02:55:36) (chat)  Mrs_Christ: @WELOVEGAMES Не двигайтесь так близко к камере, а то чату жарко Kappa
01:52:16 (02:55:39) (chat)  Nicothin: @graaaanet, olyashRoflan
01:52:17 (02:55:39) (chat)  KURT_KD: @mrs_christ я просто общался wlgPeka
01:52:17 (02:55:39) (chat)  wlgboy: @The_Crown_Clown вы вернулись из пустоши - залог возвращен. Медперсонал убежища заметил у вас в костюме прокол. Необходимо провести обследование. Это займет 62 секунды. Вы смогли найти мешочек с 23 крышкечами. Теперь на вашем балансе 2539 крышечек.
01:52:19 (02:55:41) (chat)  AlexanderRoman: @KURT_KD wlgPled wlg5
01:52:20 (02:55:42) (chat)  Forgan_: Скажите, а Денис сам такого персонажа создал или это очень прогрессивная, толерантная игра?
01:52:24 (02:55:46) (chat)  julia_vi1: @Mrs_Christ О, да! И то много не бывает wlgOralb
01:52:26 (02:55:48) (chat)  palacht34: free WiFi
01:52:28 (02:55:50) (chat)  Bogda123: во зелёном лесу я вчера ковыряться в носу
01:52:31 (02:55:53) (chat)  profile10100: @WELOVEGAMES Кстати, тебе продлили за моба
01:52:31 (02:55:54) (chat)  KURT_KD: @alexanderroman привет wlg5 wlgF wlgPled
01:52:35 (02:55:57) (chat)  graaaanet: wlgFire wlgFire wlgFire wlgFire wlgFire wlgFire
01:52:37 (02:55:59) (chat)  Do4ka1: @Mrs_Christ: wlgF wlgPled
01:52:40 (02:56:03) (chat)  MaKc_nAy4KoB: Это БАН )
01:52:42 (02:56:05) (chat)  asmodey935: wlgFire wlgFire wlgFire wlgFire wlgFire
01:52:42 (02:56:05) (chat)  Mrs_Christ: @WELOVEGAMES Нет!
01:52:44 (02:56:06) (chat)  fertonok: @totsamyiharry ееее, но меня заинтриговала принцесска
01:52:44 (02:56:07) (chat)  MaKc_nAy4KoB: LUL LUL LUL
01:52:45 (02:56:07) (chat)  angry_ytka: alexiaBan
01:52:48 (02:56:10) (chat)  KURT_KD: wlgFire wlgFire wlgFire wlgFire wlgFire wlgFire wlgFire
01:52:48 (02:56:10) (chat)  Nicothin: !ball Чату жарко olyashSmile ?
01:52:48 (02:56:11) (chat)  wlgboy: @Nicothin безусловно да!
01:52:51 (02:56:13) (chat)  AbstractBottom: wlgAsm
01:52:54 (02:56:16) (chat)  totsamyiharry: это на полном серьёзе @welovegames
01:52:56 (02:56:18) (chat)  Milllis: Похудел.
01:52:57 (02:56:20) (chat)  hvatman: olyashGasm olyashGasm olyashGasm olyashGasm olyashGasm
01:52:58 (02:56:20) (chat)  SwampDoctor113: Ближее Keepo
01:52:59 (02:56:21) (chat)  Nicothin: wlgFire wlgFire wlgFire wlgFire wlgFire wlgFire
01:53:02 (02:56:24) (chat)  OperationMadman: F
01:53:05 (02:56:27) (chat)  SupremeLolka: wlgWow
01:53:06 (02:56:28) (chat)  Mrs_Christ: Я ж говорила, что чату жарко, а он не верит
01:53:10 (02:56:32) (chat)  Fomikrai: @Mrs_Christ как человек который рисует и не смотрит на экран отвечаю - тут голоса хватает Kappa
01:53:23 (02:56:45) (chat)  Natsu2o27: @angry_ytka утя stkLov
01:53:24 (02:56:46) (chat)  totsamyiharry: @fertonok с ней надо найти подход, удачи
01:53:24 (02:56:46) (chat)  wlgboy: ВНИМАНИЕ! До конца сентября скидка 50% на подписку и переподписку! Порадуй стримера и себя! Kappa //
01:53:25 (02:56:47) (chat)  julia_vi1: @Mrs_Christ Даша, Даша. wlgOralb
01:53:25 (02:56:48) (chat)  Mrs_Christ: @Fomikrai PagChomp PagChomp PagChomp
01:53:27 (02:56:49) (chat)  SpiN_tv: @WELOVEGAMES хелоу, ну как тебе игра? :)
01:53:36 (02:56:58) (chat)  Mrs_Christ: @julia_vi1 Что? LULW
01:53:39 (02:57:01) (chat)  totsamyiharry: @mrs_christ даааа
01:53:42 (02:57:05) (chat)  fertonok: @totsamyiharry wlgOralb
01:53:44 (02:57:06) (chat)  graaaanet: @fertonok она не воспитанная ! делает что хочет и ты вообще ей не указ. вредная кусачая. но така ми-ми-ми
01:53:52 (02:57:15) (chat)  angry_ytka: @OperationMadman здравствуй lickL
01:53:53 (02:57:15) (chat)  SwampDoctor113: Ну звук скрежета ржавчины вполне себе ничего
01:53:53 (02:57:16) (chat)  Mrs_Christ: @totsamyiharry wlgOralb
01:53:56 (02:57:19) (chat)  wlgboy: @ASAGIUS вы вернулись из пустоши - залог возвращен. Вы нашли обычный предмет на старой свалке - [Дневник капитана Максона]. Положив находку в инвентарь, вы обнаружили, что у вас больше не осталось свободных слотов.
01:53:58 (02:57:20) (chat)  One_Inch_Ash: @WELOVEGAMES с пивком пойдёт
01:54:01 (02:57:23) (chat)  firedron: первый трешачок
01:54:07 (02:57:30) (chat)  sTaja13: @Mrs_Christ я помню как была во Флориде, зашли там в кабак, меня охранник остановил, паспарт показывай, а у меня нет. только беларуские водительские права, он так глянул, потом на меня, потом опять права изучил, я думаю ну все, ща начнется что такое Беларусь, когда ты их купила и тд. А он наклоняется ко мне и тихо шепчет, ты охриненно выглядишь, такой и оставайся LUL было круто
01:54:09 (02:57:32) (chat)  ASAGIUS: !inv
01:54:10 (02:57:32) (chat)  wlgboy: @ASAGIUS у вас в инвентаре следующие предметы: 1. [Шариковый кляп] 2. [Панкор Джекхаммер] 3. [Рад-X] 4. [Дневник капитана Максона] 5. [Закаленная силовая броня] 6. [Яд] 7. [Пластиковая взрывчатка]. Занято слотов: [7/7]
01:54:10 (02:57:32) (chat)  OperationMadman: @angry_ytka мой утка!!!!!!!
01:54:11 (02:57:34) (chat)  SpiN_tv: @WELOVEGAMES как говориться 6.5 из 10 :)
01:54:20 (02:57:42) (chat)  ASAGIUS: !inv drop 4
01:54:20 (02:57:42) (chat)  wlgboy: @ASAGIUS предмет [Дневник капитана Максона] изъят из вашего инвентаря.
01:54:23 (02:57:45) (chat)  fertonok: @graaaanet мою сестру напоминает
01:54:27 (02:57:49) (chat)  ASAGIUS: !wasteland
01:54:27 (02:57:50) (chat)  wlgboy: @ASAGIUS вы ушли в пустошь, оставив залог в 15 крышечек. Возвращение через 57 минут.
01:54:33 (02:57:55) (chat)  Ryzhayaryzhaya: bongoTap
01:54:33 (02:57:55) (chat)  OperationMadman: Как дела!?!? Мой утка!!!! @angry_ytka
01:54:40 (02:58:02) (chat)  angry_ytka: @Natsu2o27 привет SoSerious
01:54:40 (02:58:02) (chat)  Nicothin: @asagius, wlgF
01:54:42 (02:58:05) (chat)  carbon_add: !inv
01:54:43 (02:58:05) (chat)  wlgboy: @carbon_add у вас в инвентаре следующие предметы: 1. [Томмиган] 2. [Штурмовая винтовка] 3. [FN FAL] 4. [Спаренная плазменная пушка] 5. [Сумка парамедика] 6. [Кодекс чести Братства]. Занято слотов: [6/8]
01:54:48 (02:58:11) (chat)  julia_vi1: @Mrs_Christ Ну, все же ж так хорошо начиналось, а ты взяла и отпугнула стримера от чата wlgOralb
01:54:50 (02:58:12) (chat)  Nicothin: !штм
01:54:52 (02:58:14) (chat)  Grin01: !wasteland
01:54:52 (02:58:15) (chat)  wlgboy: @Grin01 вы ушли в пустошь, оставив залог в 15 крышечек. Возвращение через 59 минут.
01:54:53 (02:58:16) (chat)  Nicothin: !inv
01:54:54 (02:58:16) (chat)  wlgboy: @Nicothin у вас в инвентаре следующие предметы: 1. [Антирадин]. Занято слотов: [1/1]
01:55:02 (02:58:24) (chat)  carbon_add: !wasteland
01:55:02 (02:58:24) (chat)  wlgboy: @carbon_add вы ушли в пустошь, оставив залог в 15 крышечек. Возвращение через 57 минут.
01:55:03 (02:58:26) (chat)  Nicothin: wlgSad
01:55:07 (02:58:29) (chat)  graaaanet: @fertonok wlgDen wlgPeka wlgPeka wlgPeka wlgPeka wlgPeka слишком сюсюкались с ней. а парня воспитали и ангелок ныне )
01:55:10 (02:58:32) (chat)  PupsikTvoy: @WELOVEGAMES Халёу ifrostDERP Squid4
01:55:13 (02:58:36) (chat)  totsamyiharry: пойду по пустоши погуляю пока тут тихо
01:55:23 (02:58:46) (chat)  Mrs_Christ: @sTaja13 Ого, ничего себе! А я выгляжу как 15 летняя девочка со своими 153 сантиметрами 4HEad
01:55:24 (02:58:46) (chat)  Fomikrai: @julia_vi1 для такого еще рано камон Kappa дождись хоть 12
01:55:31 (02:58:53) (chat)  angry_ytka: @OperationMadman хорошо у тебя как?bongoTap
01:55:31 (02:58:53) (chat)  fertonok: @graaaanet wlgOralb
01:55:35 (02:58:57) (chat)  totsamyiharry: !wasteland
01:55:35 (02:58:58) (chat)  wlgboy: @totsamyiharry вы ушли в пустошь, оставив залог в 15 крышечек. Возвращение через 56 минут.
01:55:36 (02:58:58) (chat)  Nicothin: @totsamyiharry, KKomrade
01:55:37 (02:59:00) (chat)  brylockgames: так, а что ты не качаешься?
01:55:39 (02:59:01) (chat)  Ryzhayaryzhaya: @totsamyiharry аккуратнее там raeCute
01:55:44 (02:59:06) (chat)  wlgboy: хочешь узнать, когда будет следующий стрим? Подпишись на уведомления посредством личных сообщений ВКонтакте. Это удобно! https://vk.cc/9rSVZA
01:55:52 (02:59:14) (chat)  brylockgames: уже 4300 крышек
01:55:53 (02:59:15) (chat)  Bogda123: @welovegames смотри ка, а старуха могет
01:55:53 (02:59:16) (chat)  fertonok: @totsamyiharry ууу ... далеко ушла
01:55:59 (02:59:21) (chat)  Mrs_Christ: @julia_vi1 Я переживаю, вдруг этот горячий мужчина вас подожжет LurkMode
01:55:59 (02:59:21) (chat)  totsamyiharry: @nicothin ааась?
01:56:04 (02:59:26) (chat)  OperationMadman: @angry_ytka всё красивая!!!! Спасибо друг!!!!
01:56:08 (02:59:30) (chat)  Mr_Maloii: разрабы тоже не знали
01:56:14 (02:59:36) (chat)  totsamyiharry: @ryzhayaryzhaya есть сэр!!! wlgF wlgF
01:56:17 (02:59:39) (chat)  julia_vi1: @Fomikrai Та шо ж такое то, а?! Шо ж меня сегодня все ограничивают wlgOralb
01:56:21 (02:59:43) (chat)  Nicothin: @totsamyiharry, god luck
01:56:22 (02:59:44) (chat)  Ryzhayaryzhaya: @angry_ytka фыр raeCute
01:56:24 (02:59:46) (chat)  wlgboy: ВНИМАНИЕ! До конца сентября скидка 50% на подписку и переподписку! Порадуй стримера и себя! Kappa //
01:56:24 (02:59:46) (chat)  SwampDoctor113: @WELOVEGAMES Дай поиграть это Джусу. У него найдутся слова описать этот продукт TPFufun
01:56:25 (02:59:47) (chat)  wlgboy: @Skipper_Nemo вы вернулись из пустоши - залог возвращен. Вы смогли найти мешочек с 19 крышечками. Теперь на вашем балансе 656 крышечек.
01:56:31 (02:59:54) (chat)  Nicothin: @totsamyiharry, *good luck
01:56:35 (02:59:57) (chat)  wlgboy: @Destinety вы вернулись из пустоши - залог возвращен. Вы обнаружили редкий сундучок с 58 крышечками. Теперь на вашем балансе 11153 крышечки.
01:56:37 (03:00:00) (chat)  Ryzhayaryzhaya: @totsamyiharry так-то мадэмуазель ryzhay1Fyrfyr
01:56:38 (03:00:00) (chat)  angry_ytka: @OperationMadman wlgLuv wlgLuv wlgLuv wlgLuv
01:56:39 (03:00:02) (chat)  profile10100: Это, конечно, не Готика 2, но тоже что-то есть.
01:56:43 (03:00:05) (chat)  totsamyiharry: @fertonok ну я так, пару кружочков вокруг убежища
01:56:45 (03:00:07) (chat)  OperationMadman: @ dumplingL wlgDen dumplingL wlgDen dumplingL
01:56:49 (03:00:11) (chat)  Fomikrai: @julia_vi1 день сегодня такой понимаешь wlgOralb
01:56:50 (03:00:12) (chat)  julia_vi1: @Mrs_Christ Мало-мало огня я хочу еще немного бооольше wlgFire
01:56:51 (03:00:13) (chat)  santimentorr: !wasteland
01:56:51 (03:00:13) (chat)  totsamyiharry: @nicothin wlgF wlgF wlgF
01:56:51 (03:00:13) (chat)  wlgboy: @santimentorr вы ушли в пустошь, оставив залог в 15 крышечек. Возвращение через 38 минут.
01:57:01 (03:00:24) (chat)  blooddragon13: Всем привет. Добра! Игра для любителей фильма Грань Будущего? Сеттинг похож ;-)
01:57:04 (03:00:27) (chat)  sTaja13: @Mrs_Christ вот видимо и он думал, что мне там совсем мало, хотя я выше тебя.там в америке иногда такие девушки ходят... вот не точно не знаешь то ли ей 17, то ли все 30
01:57:08 (03:00:30) (chat)  Txipka: это типа дарк соулс с пушечками или чё?
01:57:08 (03:00:31) (chat)  graaaanet: @julia_vi1 дааааааа больше Дениса wlgHype
01:57:10 (03:00:32) (chat)  angry_ytka: @Ryzhayaryzhaya здравствуй Рыжик bongoTap
01:57:10 (03:00:32) (chat)  totsamyiharry: @ryzhayaryzhaya wlgLuv wlgLuv wlgLuv
01:57:12 (03:00:35) (chat)  s0ul_harvester: Ты не так категоричен)
01:57:17 (03:00:39) (chat)  Mrs_Christ: @julia_vi1 Да он сегодня и так слишком близко ахах
01:57:20 (03:00:43) (chat)  Vishenka_Cherry: @blooddragon13 wlg5
01:57:21 (03:00:43) (chat)  profile10100: Но Готика, конечно, круче в разы
01:57:31 (03:00:53) (chat)  wlgboy: @Goldy__ вы вернулись из пустоши - залог возвращен. Вы нашли обычный предмет на старой свалке - [Переключатель взрывного устройства]. К сожалению у вас не было места в инвентаре. Вы надежно спрятали находку, записали координаты местонахождения предмета и продали их перекупщику за 82 крышечки.
01:57:32 (03:00:54) (chat)  profile10100: И музыка там лучше
01:57:36 (03:00:59) (chat)  voles33: Норм игра, мне первая зашла
01:57:37 (03:00:59) (chat)  SwampDoctor113: @WELOVEGAMES Высокопарные эпитеты Джуса, ты чего TPFufun
01:57:40 (03:01:02) (chat)  BehemothDi: !wasteland
01:57:40 (03:01:02) (chat)  wlgboy: @BehemothDi вы ушли в пустошь, оставив залог в 15 крышечек. Возвращение через 54 минуты.
01:57:40 (03:01:02) (chat)  hvatman: !inv
01:57:40 (03:01:03) (chat)  angry_ytka: !wasteland
01:57:40 (03:01:03) (chat)  wlgboy: @hvatman в вашем инвентаре нет предметов. Занято слотов: [0/1]
