17:02:06 (00:00:30) (chat)  anksi: Kreygasm Kreygasm
20:09:29 (03:07:52) (chat)  allchepesh: Всем ку!) wlg5 wlg5 wlg5 wlgF
20:09:31 (03:07:54) (chat)  Do4ka1: ааааа
20:09:32 (03:07:55) (chat)  xeniamuerte: о, сабмод
20:09:35 (03:07:58) (chat)  LionSPb: @allchepesh привет wlg5 wlgOralb
20:09:36 (03:08:00) (chat)  Fomikrai: wlgRuined wlgRuined wlgRuined wlgRuined
20:09:37 (03:08:00) (chat)  fertonok: @allchepesh, ку
20:09:40 (03:08:03) (chat)  xeniamuerte: Kappa Kappa Kappa
20:09:41 (03:08:04) (chat)  nevormee: LUL
20:09:41 (03:08:04) (chat)  Joker_Smith: Приехали
20:09:41 (03:08:04) (chat)  Vishenka_Cherry: @allchepesh wlg5 wlgHype
20:09:42 (03:08:05) (chat)  joni_frosta: PepeLmao
20:09:43 (03:08:06) (chat)  dimkadobryak: wlgPeka wlgPeka wlgPeka
20:09:43 (03:08:07) (chat)  AlexFAS29: wlgDeer wlgDeer wlgDeer wlgDeer
20:09:44 (03:08:07) (chat)  Barnaley: wlgOralb wlgOralb wlgOralb wlgOralb wlgOralb
20:09:44 (03:08:08) (chat)  PervyiIzKosmosa: я предупреждал
20:09:44 (03:08:08) (chat)  LudaHicava: @allchepesh wlg5 wlgGillette
20:09:44 (03:08:08) (chat)  Spirit_WinD: топориком ныряй
20:09:45 (03:08:08) (chat)  eczor360: LUL
20:09:45 (03:08:08) (chat)  Nick_TIRONE: @allchepesh, привет
20:09:45 (03:08:08) (chat)  eleksirus: LUL LUL LUL
20:09:45 (03:08:08) (chat)  sazendetka: gachiPRIDE HYPERCLAP
20:09:45 (03:08:08) (chat)  Cook1eMan_: стример не тупой wlgPeka
20:09:47 (03:08:10) (chat)  koteg: гениально
20:09:47 (03:08:10) (chat)  neko975_: wlgThumb wlgThumb wlgThumb wlgThumb wlgRuined wlgRuined
20:09:47 (03:08:11) (chat)  MusicDope: wlgRuined wlgRuined wlgRuined
20:09:48 (03:08:11) (chat)  OSuse: HYPERCLAP
20:09:49 (03:08:12) (chat)  N3zzlez: Всем пока
20:09:50 (03:08:13) (chat)  DepozitPositiv: LUL LUL LUL LUL
20:09:50 (03:08:14) (chat)  Vishenka_Cherry: Погнали LUL
20:09:50 (03:08:14) (chat)  Serezkabo: wlgOralb
20:09:51 (03:08:14) (chat)  LudaHicava: wlgRuined wlgRuined wlgRuined
20:09:52 (03:08:15) (chat)  snowbolltoni: Алиса тикай
20:09:52 (03:08:15) (chat)  Mutabor_Shooter: LUL LUL LUL LUL LUL
20:09:52 (03:08:15) (chat)  xeniamuerte: LUL LUL LUL
20:09:52 (03:08:16) (chat)  Fomikrai: wlgPeka
20:09:54 (03:08:17) (chat)  AlexanderRoman: аххахахах
20:09:54 (03:08:17) (chat)  GameNoRuins: LUL
20:09:54 (03:08:17) (chat)  El_Psy_C0ngro0: LUL LUL
20:09:54 (03:08:17) (chat)  ushi_v_serejkah: etmToha etmToha etmToha etmToha etmToha
20:09:54 (03:08:17) (chat)  HasanOren: LUL
20:09:54 (03:08:18) (chat)  WhiteNightsKHV: Гоню как могу детка !
20:09:54 (03:08:18) (chat)  LionSPb: wlgHype
20:09:55 (03:08:18) (chat)  N3zzlez: BloodTrail BloodTrail BloodTrail
20:09:55 (03:08:19) (chat)  Ded_DOMOSED: SeemsGood
20:09:57 (03:08:20) (chat)  PervyiIzKosmosa: Красиво!
20:09:57 (03:08:20) (chat)  LionSPb: wlgF
20:09:57 (03:08:21) (chat)  ninnao_0: @WELOVEGAMES хана мотоциклу VoHiYo
20:09:57 (03:08:21) (chat)  Do4ka1: о боже
20:09:58 (03:08:21) (chat)  joni_frosta: PepeLmao PepeLmao PepeLmao PepeLmao PepeLmao
20:09:59 (03:08:22) (chat)  igogo94: wlgBored_SG wlgBored_SG wlgBored_SG
20:09:59 (03:08:23) (chat)  eleksirus: 4HEad
20:10:00 (03:08:23) (chat)  Fomikrai: LULW
20:10:01 (03:08:25) (chat)  Do4ka1: нееет
20:10:02 (03:08:25) (chat)  tecky_b: SeemsGood
20:10:02 (03:08:25) (chat)  Nakasikasykasena: разуть глаза Kappa
20:10:02 (03:08:25) (chat)  xeniamuerte: хахахахахаха
20:10:02 (03:08:26) (chat)  virginiax: загрузка!
20:10:03 (03:08:26) (chat)  ExtramiRe: CoolStoryBob CoolStoryBob CoolStoryBob CoolStoryBob
20:10:04 (03:08:27) (chat)  Affy_from_sc2tv: единственный дельный совет :D
20:10:05 (03:08:29) (chat)  fertonok: ахахаха
20:10:06 (03:08:29) (chat)  neko975_: wlgRuined wlgRuined wlgRuined
20:10:06 (03:08:29) (chat)  wlgboy: хочешь узнать, когда будет следующий стрим? Подпишись на уведомления посредством личных сообщений ВКонтакте. Это удобно! https://vk.cc/9rSVZA
20:10:07 (03:08:30) (chat)  Vyacheslav11: LUL LUL LUL LUL
20:10:09 (03:08:32) (chat)  LuckyFreeman: LUL лестницу не судьба было соорудить?
20:10:09 (03:08:33) (chat)  Keilaire: LUL LUL LUL
20:10:13 (03:08:36) (chat)  snowbolltoni: контент
20:10:13 (03:08:36) (chat)  Maga777maga: LUL LUL LUL LUL LUL LUL
20:10:15 (03:08:38) (chat)  ushi_v_serejkah: wlgThumb wlgThumb wlgThumb wlgThumb wlgThumb wlgThumb
20:10:15 (03:08:39) (chat)  DepozitPositiv: Алиса шарит LUL
20:10:16 (03:08:40) (chat)  Serezkabo: wlgFp wlgFp wlgFp wlgFp
20:10:17 (03:08:40) (chat)  N3zzlez: Уахахахах
20:10:17 (03:08:40) (chat)  MarcusAvreli: Это не просто так. Это Кодзима байтнул LUL
20:10:18 (03:08:42) (chat)  Do4ka1: обнадёживающе
20:10:22 (03:08:46) (chat)  Cook1eMan_: @WELOVEGAMES Загружайся wlgPeka
20:10:23 (03:08:46) (chat)  wlgboy: @Kartgen вы вернулись из пустоши - залог возвращен. Вы обнаружили редкий сундучок с 77 крышечками. Теперь на вашем балансе 4196 крышечек.
20:10:24 (03:08:47) (chat)  svyatoblood: Загружайся
20:10:24 (03:08:47) (chat)  2222kot2222: Алиса не С оврет!
20:10:26 (03:08:49) (chat)  Maga777maga: Это фиаско братан LUL LUL LUL LUL LUL wlgLuck wlgLuck wlgLuck wlgLuck
20:10:27 (03:08:50) (chat)  bogawog: HYPERCLAP
20:10:30 (03:08:53) (chat)  Keilaire: минус мотоцикл
20:10:35 (03:08:59) (chat)  AlexanderRoman: загрузись
20:10:36 (03:09:00) (chat)  xeniamuerte: !passport
20:10:39 (03:09:02) (chat)  Do4ka1: Это создатели Харли Деведсона спасибо
20:10:40 (03:09:03) (chat)  tecky_b: wlgCry wlgCry wlgCry wlgCry wlgCry
20:10:40 (03:09:03) (chat)  ODuHB5: хранитель руина MingLee
20:10:40 (03:09:04) (chat)  N3zzlez: wlgFire wlgFire wlgFire wlgFire wlgFire
20:10:41 (03:09:04) (chat)  ushi_v_serejkah: Минус второй мотоцикл
20:10:44 (03:09:07) (chat)  Fomikrai: wlgPeka теперь за новым или потрачено?
20:10:44 (03:09:08) (chat)  dimkadobryak: Заодно проверишь можно ли вернуть байк. @WELOVEGAMES
20:10:49 (03:09:12) (chat)  SirChpokovich: Срезали
20:10:49 (03:09:13) (chat)  snowbolltoni: хирально так хиральнулся
20:10:50 (03:09:14) (chat)  Zlatusya: Понятно стример уничтожает мотоциклы, репорт
20:10:51 (03:09:14) (chat)  MarcusAvreli: Я на таком же месте в ВОВ упал
20:10:54 (03:09:17) (chat)  bogawog: !caps
20:10:54 (03:09:17) (chat)  spoiler_tea: wlgThumb wlgPizza wlgPizza
20:10:54 (03:09:17) (chat)  wlgboy: @bogawog ваш баланс составляет 6842 крышечки.
20:10:54 (03:09:18) (chat)  moh_bolotniy: Lf xnj vj;tn ckexbnmcz? rjve ye;ys ktcnybws djj,ot)
20:10:56 (03:09:19) (chat)  Nakasikasykasena: один разок можно Kappa
20:10:57 (03:09:20) (chat)  AlexFAS29: сломал чужой байк
20:11:00 (03:09:24) (chat)  moh_bolotniy: Да кому нужны лестницы
20:11:02 (03:09:26) (chat)  AlexanderRoman: ну как хош
20:11:03 (03:09:26) (chat)  bogawog: !wasteland
20:11:03 (03:09:26) (chat)  wlgboy: @bogawog вы ушли в пустошь, оставив залог в 15 крышечек. Возвращение через 30 минут.
20:11:08 (03:09:31) (chat)  PervyiIzKosmosa: LUL
20:11:10 (03:09:33) (chat)  Nick_TIRONE: @moh_bolotniy будь здоров
20:11:10 (03:09:34) (chat)  LudaHicava: LUL LUL LUL
20:11:12 (03:09:36) (chat)  Samurai____Jack: Вот это поворот! точнее вот это переворот
20:11:12 (03:09:36) (chat)  moh_bolotniy: wlgOralb
20:11:15 (03:09:38) (chat)  tecky_b: @WELOVEGAMES раздолбал чей то мотоцикл? И ТАААК сойдёт LUL LUL LUL
20:11:15 (03:09:38) (chat)  l7uyl7uy: @WELOVEGAMES а ты мог поставить лестницу и проехать?
20:11:17 (03:09:40) (chat)  wanqoast: профессионал, не отчаивайся @welovegames Kappa
20:11:20 (03:09:43) (chat)  wlgboy: @DokerStim вы вернулись из пустоши - залог возвращен. Вы обнаружили редкий сундучок с 58 крышечками. Теперь на вашем балансе 40208 крышечек.
20:11:20 (03:09:43) (chat)  AlexanderRoman: братья по неудаче
20:11:21 (03:09:44) (chat)  fertonok: wlgCap wlgCap wlgCap wlgCap
20:11:22 (03:09:45) (chat)  moh_bolotniy: wlgGillette
20:11:26 (03:09:49) (chat)  wlgboy: скидка до 20% на продукцию ASUS. Приятных покупок с промокодом WLG по ссылке: https://vk.cc/9ivAk7
20:11:29 (03:09:52) (chat)  PervyiIzKosmosa: пока их дво "О трамплинчик" LUL
20:11:29 (03:09:52) (chat)  xeniamuerte: LUL LUL LUL
20:11:36 (03:09:59) (chat)  JohnS31: Ну не утопим, так разобьём (с) WLG
20:11:36 (03:09:59) (chat)  necelentano: wlgPizza
20:11:41 (03:10:04) (chat)  AhKind: wlgGillette wlgGillette
20:11:46 (03:10:10) (chat)  snowbolltoni: жадина говядина
20:11:48 (03:10:11) (chat)  Maga777maga: wlgLuv wlgLuv wlgLuv
20:11:48 (03:10:12) (chat)  joni_frosta: LUL
20:11:58 (03:10:21) (chat)  koteg: Васииииииииииииилииииииииииий (с)
20:12:05 (03:10:29) (chat)  sazendetka: так, прогугливаем всех Василиев
20:12:09 (03:10:32) (chat)  insider: Скажу кто рисует Денису за кг картошки Kappa
20:12:12 (03:10:35) (chat)  AlexVenger: @WELOVEGAMES Привет!Похоже там везде горы. А можно затарить полную машину лестницами и веревками и заняться альпинизмом? PixelBob Хорошего стрима! <3 HSCheers
20:12:12 (03:10:35) (chat)  wlgboy: @EMOBLAZE вы вернулись из пустоши - залог возвращен. Вы обнаружили редкий сундучок с 52 крышкечами. Теперь на вашем балансе 53071 крышечка.
20:12:13 (03:10:37) (chat)  Majerido: Оставил Васю без хлеба :-\
20:12:18 (03:10:41) (chat)  wlgboy: @ServiceNomaD вы вернулись из пустоши - залог возвращен. Вы смогли найти мешочек с 16 крышечками. Теперь на вашем балансе 1636 крышечек.
20:12:23 (03:10:46) (chat)  WhiteNightsKHV: обломал художника, не прорекламировал
20:12:36 (03:10:59) (chat)  dimkadobryak: Сам Дали рисовал wlgOralb
20:12:44 (03:11:08) (chat)  Do4ka1: виу
20:12:47 (03:11:10) (chat)  AlexFAS29: Это реснички
20:12:48 (03:11:11) (chat)  BeaverBooh: Дабл РЕЙНБОУУУУ
20:12:51 (03:11:14) (chat)  ErozzeR: Я кста рисую
20:13:01 (03:11:24) (chat)  ekzoversi_: я как кто видела в реальности радугу наоборот @WELOVEGAMES
20:13:09 (03:11:33) (chat)  ushi_v_serejkah: Не было там радуги значит
20:13:14 (03:11:37) (chat)  joni_frosta: LUL
20:13:21 (03:11:44) (chat)  Joker_Smith: можно можно, это же не декорация
20:13:22 (03:11:45) (chat)  Fomikrai: LUL LUL LUL
20:13:25 (03:11:49) (chat)  moh_bolotniy: wlgFp
20:13:26 (03:11:49) (chat)  wlgboy: прослушать саундтрек из Death Stranding можно по ссылке: https://vk.cc/a02mfe
20:13:28 (03:11:52) (chat)  WhiteNightsKHV: @BeaverBooh wlgThumb wlgPeka
20:13:47 (03:12:10) (chat)  Ded_DOMOSED: Катюха Перова wlgDen
20:13:47 (03:12:10) (chat)  Ulyashha: @welovegames а художник в векторе рисует или в растре?
20:13:51 (03:12:15) (chat)  wlgboy: @gatarelub вы вернулись из пустоши - залог возвращен. Медперсонал убежища заметил у вас в костюме прокол. Необходимо провести обследование. Это займет 67 секунд. Вы обнаружили редкий сундучок с 68 крышечками. Теперь на вашем балансе 6894 крышечки.
20:13:55 (03:12:18) (chat)  Mr_ZARED: wlgPizza wlgThumb alinar4CRY
20:13:58 (03:12:22) (chat)  tecky_b: @WELOVEGAMES возможно зарядная? ах да, мотоцикла же нет LUL
20:14:15 (03:12:39) (chat)  Spirit_WinD: минус груз?
20:14:19 (03:12:42) (chat)  Mr_ZARED: !wasteland
20:14:19 (03:12:42) (chat)  wlgboy: @Mr_ZARED вы ушли в пустошь, оставив залог в 15 крышечек. Возвращение через 44 минуты.
20:14:26 (03:12:49) (chat)  koteg: @WELOVEGAMES а слышал Draper - Double Rainbow Remix? топовый трек
20:14:38 (03:13:02) (chat)  ksenia_moon: Ушла в магазин, а тут подписку подарили wlgGillette wlgGillette wlgGillette
20:14:40 (03:13:03) (chat)  joni_frosta: Kermitpls
20:14:46 (03:13:09) (chat)  melkaya_150cm: !wasteland
20:14:46 (03:13:09) (chat)  wlgboy: @melkaya_150cm вы ушли в пустошь, оставив залог в 15 крышечек. Возвращение через 33 минуты.
20:15:03 (03:13:26) (chat)  MarcusAvreli: включи то, где мужик орёт
20:15:04 (03:13:27) (chat)  Do4ka1: @welovegames а почему смайлики коты? кто придумал?
20:15:05 (03:13:28) (chat)  Joker_Smith: Лезгинка LUL
20:15:06 (03:13:29) (chat)  wlgboy: хочешь узнать, когда будет следующий стрим? Подпишись на уведомления посредством личных сообщений ВКонтакте. Это удобно! https://vk.cc/9rSVZA
20:15:10 (03:13:33) (chat)  Nick_TIRONE: Pog
20:15:12 (03:13:36) (chat)  Ded_DOMOSED: Щас лезгинку включит
20:15:13 (03:13:36) (chat)  joni_frosta: Pog
20:15:14 (03:13:37) (chat)  Random____: этой игре не хватает фоновой музыки
20:15:15 (03:13:38) (chat)  LionSPb: @ksenia_moon у тебя в магазине продают подписки? wlgGillette
20:15:17 (03:13:40) (chat)  Nick_TIRONE: wlgBored
20:15:17 (03:13:40) (chat)  Textolite: GabeN
20:15:19 (03:13:42) (chat)  wlgboy: @nevihodyizdoma вы вернулись из пустоши - залог возвращен. Вы смогли найти мешочек с 26 крышечками. Теперь на вашем балансе 741 крышечка.
20:15:23 (03:13:46) (chat)  wlgboy: @Mutabor_Shooter вы вернулись из пустоши - залог возвращен. Вы смогли найти мешочек с 23 крышкечами. Теперь на вашем балансе 75870 крышечек.
20:15:24 (03:13:47) (chat)  k1ms0: west virginiaaaaaaaaaaaa mountain mamaaaa
20:15:33 (03:13:56) (chat)  1pohuy: cправо горы слева горы А ВДАЛИ КАВКАЗ !
20:15:33 (03:13:57) (chat)  snowbolltoni: лол гоу и его разобьём @WELOVEGAMES
20:15:36 (03:13:59) (chat)  xeniamuerte: wlgBored
20:15:37 (03:14:00) (chat)  Cook1eMan_: халявный байк wlgDuck
20:15:40 (03:14:03) (chat)  just_friendly_neighbor: сабмод что ли?
20:15:40 (03:14:03) (chat)  wlgboy: @moh_bolotniy вы вернулись из пустоши - залог возвращен. Вы смогли найти мешочек с 15 крышечками. Теперь на вашем балансе 1739 крышечек.
20:15:40 (03:14:04) (chat)  Maga777maga: wlgThumb wlgThumb wlgThumb wlgThumb
20:15:49 (03:14:12) (chat)  moh_bolotniy: !wasteland
20:15:49 (03:14:13) (chat)  wlgboy: @moh_bolotniy вы ушли в пустошь, оставив залог в 15 крышечек. Возвращение через 52 минуты.
20:15:54 (03:14:17) (chat)  Joker_Smith: @WELOVEGAMES У игры разве нету фоновой музыки или она отвратительная ?
20:15:54 (03:14:18) (chat)  ksenia_moon: @LionSPb видимо на акцию нарвалась wlgAsm
20:15:56 (03:14:20) (chat)  just_friendly_neighbor: !wasteland
20:15:57 (03:14:20) (chat)  wlgboy: @just_friendly_neighbor у вас недостаточно крышек для выхода в пустошь. Необходимо 15
20:15:59 (03:14:22) (chat)  Maga777maga: Что может быть лучше гор!?
20:16:00 (03:14:23) (chat)  ServiceNomaD: hwasteland
20:16:00 (03:14:24) (chat)  wlgboy: @ServiceNomaD вы ушли в пустошь, оставив залог в 15 крышечек. Возвращение через 39 минут.
20:16:04 (03:14:28) (chat)  joni_frosta: monkaOMEGA
20:16:11 (03:14:34) (chat)  FeBellus: @Maga777maga Ор
20:16:14 (03:14:37) (chat)  LudaHicava: что еще можно сделать с байком в этой игре?
20:16:17 (03:14:40) (chat)  LionSPb: @ksenia_moon ха! с подпиской wlgCheers wlgOralb
20:16:21 (03:14:45) (chat)  joni_frosta: monkaEyes
20:16:26 (03:14:49) (chat)  wlgboy: розыгрыши, мемы, игровые новости, анонсы стримов, музыка в нашем сообществе ВКонтакте: vk.com/welovegames
20:16:31 (03:14:55) (chat)  Komkate: Спонтанное желание потратить Атомы
20:16:34 (03:14:57) (chat)  Joker_Smith: Хиралий
20:16:36 (03:14:59) (chat)  MarcusAvreli: Алиса работает, если в играешь в полном экране ?
20:16:41 (03:15:04) (chat)  Ded_DOMOSED: @maga777maga, только ор выше гор LUL
20:16:42 (03:15:05) (chat)  FeBellus: wlgOralb wlgOralb wlgOralb
20:16:48 (03:15:11) (chat)  17thRain: @Maga777maga только горы на которых еще не бывал :)
20:16:48 (03:15:11) (chat)  FeBellus: @WELOVEGAMES Дэээн
20:16:51 (03:15:14) (chat)  fertonok: wlgBored wlgBored wlgBored
20:16:54 (03:15:17) (chat)  FeBellus: там сабмод вырубили
20:17:00 (03:15:23) (chat)  snowbolltoni: @LudaHicava утопить, разбить уже не мало
20:17:03 (03:15:26) (chat)  joni_frosta: -60000 просто так LUL
20:17:09 (03:15:32) (chat)  Maga777maga: Да только горы wlgLuv wlgLuv wlgLuv
20:17:09 (03:15:32) (chat)  xeniamuerte: @fertonok wlgBored wlgBored wlgBored
20:17:17 (03:15:40) (chat)  Joker_Smith: главное не пукнуть
20:17:24 (03:15:48) (chat)  LudaHicava: @snowbolltoni зачем повторяться
20:17:27 (03:15:51) (chat)  igogo94: wlgBored_SG wlgBored_SG
20:17:38 (03:16:01) (chat)  LionSPb: wlgSad
20:17:40 (03:16:03) (chat)  Trickster_FOX_: wlgGillette wlgGillette wlgGillette wlgGillette wlgGillette wlgGillette
20:17:45 (03:16:08) (chat)  DepozitPositiv: wlgBored wlgBored wlgBored
20:17:45 (03:16:09) (chat)  N3zzlez: wlgSad
20:17:46 (03:16:10) (chat)  just_friendly_neighbor: ну и Jebaited
20:17:47 (03:16:10) (chat)  Jokertmn: фбай опен зе дор Kappa
20:17:47 (03:16:11) (chat)  Brino_tmn: Свобода
20:17:48 (03:16:11) (chat)  MarcusAvreli: wlgHype wlgHype wlgHype Беги обниму
20:17:51 (03:16:14) (chat)  vans33: PogChamp PogChamp PogChamp PogChamp
20:17:52 (03:16:16) (chat)  igogo94: TwitchUnity WutFace
20:17:53 (03:16:16) (chat)  brother_darkness_yet: Спасибо добрый шейх, что заплатил за выкуп ансабов BibleThump BibleThump
20:17:54 (03:16:17) (chat)  LudaHicava: выпустить кракена!
20:17:56 (03:16:20) (chat)  w3xkoD: БУУУУУНД
20:17:57 (03:16:20) (chat)  MusicDope: @komkate, wlgDuck
20:17:57 (03:16:21) (chat)  LmpBzkt_Style: Куда идём мы с пятачком.....
20:17:58 (03:16:21) (chat)  N3zzlez: @lionspb wlg5
20:17:58 (03:16:22) (chat)  chessus34: wlg5
20:18:00 (03:16:23) (chat)  angel_itself: wlgHype wlgHype wlgHype
20:18:03 (03:16:26) (chat)  sanyoflexer: урааа
20:18:04 (03:16:27) (chat)  Grey_hounD: PagChomp СВОБОДА!!!!!!!!!!!!!
20:18:04 (03:16:27) (chat)  firedron: СВОБОДА SMOrc СВОБОДА SMOrc СВОБОДА SMOrc СВОБОДА SMOrc СВОБОДА SMOrc СВОБОДА SMOrc СВОБОДА SMOrc СВОБОДА SMOrc
20:18:04 (03:16:27) (chat)  LionSPb: @n3zzlez привет wlg5 wlgOralb
20:18:04 (03:16:28) (chat)  lergvot: SMOrc SMOrc SMOrc SMOrc SMOrc SMOrc SMOrc SMOrc SMOrc
20:18:06 (03:16:29) (chat)  mr_racoon: Герою Слава!
20:18:06 (03:16:30) (chat)  NorthFailer: @Komkate Pog KKomrade s1lverLove s1lverLove
20:18:07 (03:16:30) (chat)  sanyoflexer: сабысосать
20:18:07 (03:16:30) (chat)  Luzduk: Так , кто с улицы пришёл , ноги вытирайте
20:18:07 (03:16:30) (chat)  autidnavi: в АТАКУ
20:18:08 (03:16:31) (chat)  renoske1ez: СВОБОДАААААААААА !!
20:18:09 (03:16:33) (chat)  FireFly_Serenity: @Komkate kkislaKappa <3
20:18:11 (03:16:35) (chat)  YoungDaggerBlink: Привет Денис <3
20:18:12 (03:16:36) (chat)  ExtramiRe: sbtHypers sbtHypers sbtHypers sbtHypers sbtHypers sbtHypers sbtHypers sbtHypers
20:18:12 (03:16:36) (chat)  joni_frosta: Выпускайте Шнаякеров
20:18:15 (03:16:38) (chat)  ThundersTom: <3 PogChamp
20:18:15 (03:16:38) (chat)  x345: SMOrc SMOrc SMOrc SMOrc SMOrc SMOrc SMOrc SMOrc SMOrc
20:18:15 (03:16:38) (chat)  iFISH_: dinablinF dinablinF dinablinF dinablinF
20:18:15 (03:16:39) (chat)  Joker_Smith: мдэ
20:18:16 (03:16:39) (chat)  autidnavi: ВАТАКУ!1!1!1
20:18:19 (03:16:42) (chat)  k1ms0: за орду!
20:18:19 (03:16:42) (chat)  ivegotahangover_: DogePls
20:18:20 (03:16:43) (chat)  homo_cop: PridePan мой герой
20:18:20 (03:16:44) (chat)  arrow_srt: SMOrc SMOrc SMOrc
20:18:21 (03:16:45) (chat)  renoske1ez: SMOrc саберы WutFace
20:18:22 (03:16:45) (chat)  maj0r_Kusanagi: wlgLuv wlgLuv wlgLuv wlgLuv wlgLuv wlgLuv
20:18:23 (03:16:47) (chat)  snowbolltoni: @LudaHicava да точно. Сесть и уехать в закат
20:18:23 (03:16:47) (chat)  h6nk707: PogU
20:18:24 (03:16:47) (chat)  SolstHeime: Сабы, может забаним предателя? wlgBored
20:18:25 (03:16:48) (chat)  GCook: @Komkate благодарен вам Сэр xqcL
20:18:25 (03:16:49) (chat)  Aazmandiyc: Kreygasm Kreygasm Kreygasm
20:18:26 (03:16:49) (chat)  AskieR78RUS: wlgOralb wlgOralb wlgOralb wlgOralb wlgOralb
20:18:26 (03:16:49) (chat)  wlgboy: прослушать саундтрек из Death Stranding можно по ссылке: https://vk.cc/a02mfe
20:18:26 (03:16:50) (chat)  SnaKemuho: PogU
20:18:27 (03:16:50) (chat)  DmitryJDM: Keepo Keepo Keepo Keepo Keepo
20:18:27 (03:16:51) (chat)  Vyacheslav11: денис какахами в тварей уже стрелял?
20:18:27 (03:16:51) (chat)  x345: SMOrc SMOrc SMOrc SMOrc
20:18:28 (03:16:51) (chat)  ArseniXC: Kreygasm
20:18:28 (03:16:51) (chat)  2222kot2222: wlgPizza
20:18:28 (03:16:52) (chat)  xeniamuerte: omg
20:18:29 (03:16:53) (chat)  NamelessCamper: wlgF5
20:18:30 (03:16:53) (chat)  OiK__: enigmaCringe
20:18:31 (03:16:54) (chat)  CortanaM: tvjuiceDef tvjuiceDef tvjuiceDef
20:18:33 (03:16:56) (chat)  J_e_k_a: Ура, спасибо тебе...счастья , здоровья
20:18:34 (03:16:57) (chat)  Grey_hounD: Pepega
20:18:35 (03:16:58) (chat)  snowbolltoni: о музон из Гладиатора
20:18:40 (03:17:03) (chat)  El_Psy_C0ngro0: BibleThump BibleThump BibleThump
20:18:41 (03:17:04) (chat)  Fomikrai: @WELOVEGAMES что за композиция? очень знакомая
20:18:42 (03:17:05) (chat)  GCook: свобода sodaHappy
20:18:42 (03:17:05) (chat)  Samurai____Jack: Что за притеснение ансабов мы тоже люди лол
20:18:47 (03:17:11) (chat)  KapJlcoH_6e3_Kpblwu: wlgOralb
20:18:48 (03:17:12) (chat)  K1FT_: победа
20:18:49 (03:17:13) (chat)  Cunning36: вэлком ту зэ клаб бадди KappaPride
20:18:50 (03:17:14) (chat)  m104: Эти хиральнутые совсем хиранулись харильный саб мод захираливать!!!!
20:18:51 (03:17:14) (chat)  OiK__: AngelThump
20:18:51 (03:17:14) (chat)  SirStormGod: Спасибо добрая душа!"
20:18:51 (03:17:15) (chat)  NorthFailer: Pog
20:18:53 (03:17:16) (chat)  V_O_o_V: wlgDance merdeksZdorovo merdeksHi
20:18:54 (03:17:17) (chat)  zelante_: TheThing
20:18:54 (03:17:17) (chat)  autidnavi: @WELOVEGAMES есть функция чат только для ансабов?
20:18:55 (03:17:18) (chat)  Belkaperdelka: wlgSad
20:18:56 (03:17:20) (chat)  MarcusAvreli: wlg5_HF Kreygasm wlg5
20:18:57 (03:17:20) (chat)  yoba4: тест
20:18:57 (03:17:20) (chat)  w3xkoD: Требуем введения возможности отключения чата для Сабов!!!!!!
20:18:58 (03:17:21) (chat)  GRIFSTGAMES: <3 <3 <3 <3 <3 <3 <3 <3 <3
20:18:58 (03:17:21) (chat)  seregalexeev: HeyGuys
20:18:59 (03:17:22) (chat)  Oblivioushead: Ребят, а в этой игре автобег есть?
20:19:08 (03:17:31) (chat)  Do4ka1: Kappa Kappa
20:19:09 (03:17:32) (chat)  Nick_TIRONE: @autidnavi, нет
20:19:11 (03:17:34) (chat)  karapassi: wlgBored wlgBored wlgBored wlgBored wlgBored wlgBored
20:19:12 (03:17:36) (chat)  KINGOFBADNEWS: ну типа снова здрасьте
20:19:13 (03:17:36) (chat)  pandarenpod: @Komkate Чат, осторожно, тут герой orkHype orkHype orkHype orkHype orkHype
20:19:15 (03:17:38) (chat)  Samurai____Jack: Чат только для ансабов норм идея)
20:19:21 (03:17:44) (chat)  k1ms0: @w3xkoD ++++
20:19:23 (03:17:46) (chat)  Random____: wlgPray wlgPray wlgPray
20:19:23 (03:17:46) (chat)  Joker_Smith: @autidnavi нету )
20:19:28 (03:17:52) (chat)  Morfeus811: wlgOralb
20:19:29 (03:17:53) (chat)  LudaHicava: хоть бы кто поблагодарил человека что открыл чат wlgBored
20:19:33 (03:17:56) (chat)  Kuk1sh: NotLikeThis BibleThump
20:19:34 (03:17:57) (chat)  RSpwnz: HolidaySanta SingsNote
20:19:34 (03:17:57) (chat)  2222kot2222: Samurai____Jack это не притеснение а это реалии жизни wlgF
20:19:34 (03:17:58) (chat)  N3zzlez: Ансабы бушуют wlgSad
20:19:35 (03:17:59) (chat)  MarcusAvreli: Песня Malukah вроде исполняет
20:19:38 (03:18:02) (chat)  sokolow: демоны
20:19:43 (03:18:06) (chat)  Asdertry111: @WELOVEGAMES привет 👋 как всегда отличный стрим с крутым нарядом)
20:19:44 (03:18:07) (chat)  Belkaperdelka: wlgSad
20:19:48 (03:18:11) (chat)  xeniamuerte: wlgLuv wlgLuv wlgLuv
20:19:52 (03:18:16) (chat)  joni_frosta: wlgPled wlgPled
20:19:53 (03:18:17) (chat)  k1ms0: @WELOVEGAMES Это ж трек великого Ханса мать его Циммера!
20:19:54 (03:18:17) (chat)  sokolow: спасибо
20:19:55 (03:18:18) (chat)  ExtramiRe: сказали
20:19:56 (03:18:19) (chat)  Do4ka1: BabyRage wlgPled
