03:33:55 (00:00:00) (comm)  S1mplerV: !гз
00:24:27 (03:52:34) (chat)  Farewell666: @Michuri4 убить лунного лорда на хардмоде экспертного режима раз 100 и построить себе царский 2д замок
00:24:29 (03:52:36) (chat)  GlebBio: @graaaanet Окей) а то вы так открыто общаетесь)
00:24:31 (03:52:38) (chat)  Michuri4: @loopi_ya ага
00:24:36 (03:52:44) (chat)  Mutabor_Shooter: @GlebBio это да. отпуск wlgPled
00:24:48 (03:52:55) (chat)  graaaanet: @GlebBio Ну ты в теме вот и понимаешь)
00:24:48 (03:52:55) (chat)  GlebBio: @mutabor_shooter Хорошо отдохнуть )
00:25:08 (03:53:15) (chat)  Michuri4: @Farewell666 ага понятно спасибо
00:25:09 (03:53:16) (chat)  GlebBio: @graaaanet Ну я не знал кто в теме) вот и спрашиваю)
00:25:10 (03:53:17) (chat)  Mutabor_Shooter: @GlebBio спасибо, ещё неделя осталась
00:25:13 (03:53:20) (chat)  SupremeLolka: рип
00:25:14 (03:53:21) (chat)  EMOBLAZE: !wasteland
00:25:14 (03:53:21) (chat)  wlgboy: @EMOBLAZE вы уже находитесь в пустоши. Времени до возвращения: 5 минут.
00:25:15 (03:53:22) (chat)  moh_bolotniy: ставь костер регень хп
00:25:27 (03:53:35) (chat)  GlebBio: @mutabor_shooter Смакуй и наслаждайся )
00:25:28 (03:53:35) (chat)  Michuri4: это почти как манкравт
00:25:39 (03:53:47) (chat)  IProROK: хп
00:25:45 (03:53:52) (chat)  lucifer_the: Я не понимаю как они хотят пройти этого босса с таким говно оружием
00:25:51 (03:53:58) (chat)  wlgboy: @PopravkoUA вы вернулись из пустоши - залог возвращен. Вы смогли найти мешочек с 16 крышечками. Теперь на вашем балансе 6876 крышечек.
00:25:56 (03:54:03) (chat)  Samray_n1: изи
00:25:56 (03:54:03) (chat)  Pr4ce: адскую броню уже делали?
00:25:56 (03:54:04) (chat)  alenafff: POGGERS //
00:26:02 (03:54:09) (chat)  SweetBaget: !wasteland
00:26:03 (03:54:10) (chat)  Mutabor_Shooter: @GlebBio да вот стараюсь, спасибо стримы чиловые есть
00:26:03 (03:54:10) (chat)  wlgboy: @ElfiBelka вы вернулись из пустоши - залог возвращен. Вы обнаружили редкий сундучок с 73 крышкечами. Теперь на вашем балансе 51536 крышечек.
00:26:06 (03:54:13) (chat)  GlebBio: @alenafff wlgFlowers roddIQ wlgFlowers roddIQ wlgFlowers roddIQ wlgFlowers roddIQ
00:26:07 (03:54:14) (chat)  黒い狐: всем доброго вечера wlgLuv
00:26:07 (03:54:14) (chat)  SupremeLolka: @pr4ce, не
00:26:23 (03:54:31) (chat)  santimentorr: @black_fat_fox wlg5 wlg5 wlgCheers
00:26:26 (03:54:33) (chat)  alenafff: @glebbio, причем айкью tvjuiceOrc
00:26:28 (03:54:36) (chat)  graaaanet: @GlebBio wlgEz
00:26:33 (03:54:40) (chat)  fertonok: @alenafff wlgDuck уже с оружием?
00:26:38 (03:54:45) (chat)  moh_bolotniy: И бабки Дэну, ахахахахаха
00:26:39 (03:54:46) (chat)  bobuika: wlgPeka wlgPeka wlgPeka
00:26:40 (03:54:47) (chat)  SupremeLolka: LUL LUL
00:26:41 (03:54:48) (chat)  moh_bolotniy: свалились)
00:26:42 (03:54:49) (chat)  黒い狐: @santimentorr wlg5 wlgLuv
00:26:51 (03:54:59) (chat)  ASAGIUS: @alenafff привет, Алёна wlgPled
00:27:02 (03:55:09) (chat)  GlebBio: @alenafff Ну счастья ( wlgFlowers ) здоровья ( roddIQ )
00:27:05 (03:55:13) (chat)  wlgboy: @Mrs_Christ вы вернулись из пустоши - залог возвращен. Вы обнаружили редкий сундучок с 54 крышкечами. Теперь на вашем балансе 2016 крышечек.
00:27:07 (03:55:14) (chat)  wlgboy: ВНИМАНИЕ! До конца сентября скидка 50% на подписку и переподписку! Порадуй стримера и себя! Kappa //
00:27:19 (03:55:27) (chat)  alenafff: @fertonok, Kappa
00:27:25 (03:55:32) (chat)  KURT_KD: !caps
00:27:25 (03:55:33) (chat)  wlgboy: @KURT_KD вы не можете это сделать, пока находитесь в пустоши.
00:27:27 (03:55:34) (chat)  alenafff: @glebbio, tvjuiceOrc tvjuiceOrc tvjuiceOrc
00:27:35 (03:55:42) (chat)  KURT_KD: wlgSad wlgSad wlgSad
00:27:39 (03:55:46) (chat)  SupremeLolka: wlgFp wlgFp wlgFp wlgFp
00:27:39 (03:55:47) (chat)  GlebBio: @alenafff Мобильный клиент какашка dangarOiVse dangarOiVse
00:27:40 (03:55:47) (chat)  Respya: Теперь Дима тестировщик
00:27:50 (03:55:57) (chat)  SupremeLolka: @WELOVEGAMES он испарится внизу
00:27:53 (03:56:01) (chat)  Pr4ce: В аду вода испаряется
00:27:55 (03:56:03) (chat)  angry_ytka: @glebbio тут тока от силы 3 человека знает wlgHype wlgPled
00:27:58 (03:56:05) (chat)  KURT_KD: !wasteland
00:27:58 (03:56:05) (chat)  wlgboy: @KURT_KD вы уже находитесь в пустоши. Времени до возвращения: 8 минут.
00:28:07 (03:56:14) (chat)  wlgboy: скидка до 20% на продукцию ASUS. Приятных покупок с промокодом WLG по ссылке: https://vk.cc/9ivAk7
00:28:11 (03:56:18) (chat)  wlgboy: @4aroki_bad_noy вы вернулись из пустоши - залог возвращен. Медперсонал убежища заметил у вас в костюме прокол. Необходимо провести обследование. Это займет 93 секунды. Вы обнаружили редкий сундучок с 92 крышкечами. Теперь на вашем балансе 616 крышечек.
00:28:16 (03:56:23) (chat)  GlebBio: @angry_ytka Принял
00:28:17 (03:56:24) (chat)  Yoksare: Там же был какой-то артефакт от урона от падения... подкова что ли. Вроде не редкий...
00:28:32 (03:56:39) (chat)  Pr4ce: @WELOVEGAMES В аду вода испаряется
00:28:40 (03:56:48) (chat)  angry_ytka: @glebbio вот так что секрет ещё тот большой при большой wlgPled
00:28:54 (03:57:02) (chat)  angry_ytka: @alenafff привет estiraGrimace
00:29:02 (03:57:10) (chat)  SupremeLolka: @WELOVEGAMES Денис, вода испаряется
00:29:18 (03:57:26) (chat)  KURT_KD: wlgWow wlgWow wlgWow wlgWow wlgWow wlgWow wlgWow wlgWow wlgWow
00:29:25 (03:57:32) (chat)  BRO542: @WELOVEGAMES Скоро обнова выйдет. Заново проходить будет?
00:29:27 (03:57:34) (chat)  wlgboy: хочешь узнать, когда будет следующий стрим? Подпишись на уведомления посредством личных сообщений ВКонтакте. Это удобно! https://vk.cc/9rSVZA
00:29:34 (03:57:41) (chat)  Mutabor_Shooter: шо за?
00:29:34 (03:57:41) (chat)  ASAGIUS: @nikolay_apostol держи себя в руках MiniK
00:29:43 (03:57:51) (chat)  SupremeLolka: дождевое облако дамажит а не воду льёт)
00:29:45 (03:57:53) (chat)  Mrs_Christ: @nikolay_apostol Привет). Я аж испугалась
00:29:51 (03:57:59) (chat)  wlgboy: @EMOBLAZE вы вернулись из пустоши - залог возвращен. Вы смогли найти мешочек с 29 крышечками. Теперь на вашем балансе 36820 крышечек.
00:29:53 (03:58:00) (chat)  moh_bolotniy: Лавы туда)
00:29:54 (03:58:02) (chat)  EMOBLAZE: !wasteland
00:29:55 (03:58:02) (chat)  wlgboy: @EMOBLAZE вы ушли в пустошь, оставив залог в 15 крышечек. Возвращение через 40 минут.
00:29:55 (03:58:02) (chat)  SupremeLolka: а блок просто декорация
00:29:59 (03:58:06) (chat)  loopi_ya: что там в обновлении? новые 3 кирпича? и лампа?
00:30:00 (03:58:08) (chat)  nikolay_apostol: так я просто Поздаровался ....
00:30:01 (03:58:08) (chat)  Mr_Dimiks: Сразу видно, что Хранитель в кубы не игрок ))
00:30:07 (03:58:14) (chat)  wlgboy: ВНИМАНИЕ! До конца сентября скидка 50% на подписку и переподписку! Порадуй стримера и себя! Kappa //
00:30:09 (03:58:16) (chat)  T0SHO: а это уже ад?
00:30:15 (03:58:22) (chat)  T0SHO: чет не похоже
00:30:16 (03:58:24) (chat)  EDIIS: если выше сосуд сделать?
00:30:17 (03:58:25) (chat)  KURT_KD: @asagius мб он хочет чтобы ты его взял в свои крепкие руки KappaPride KappaPride KappaPride wlgPeka
00:30:19 (03:58:27) (chat)  WSFenix: @WELOVEGAMES паутинку в конце прикрепите просто
00:30:19 (03:58:27) (chat)  GlebBio: @asagius привет wlgWow
00:30:27 (03:58:34) (chat)  heinrichkenig: @WELOVEGAMES Создай ведро и набери воды, и построй повыше ёмкость с водой.
00:30:27 (03:58:34) (chat)  RadioZefir: Как в Майне воды не будет, но вы держитесь))
00:31:08 (03:59:15) (chat)  Mrs_Christ: @nikolay_apostol Напиши просто "Всем привет", а то так ты полчата выделил. Слишком много)
00:31:28 (03:59:36) (chat)  angry_ytka: wlgHype wlgHype wlgHype wlgHype wlgHype
00:31:33 (03:59:41) (chat)  Skvatorix: !buy
00:31:34 (03:59:41) (chat)  wlgboy: @Skvatorix вы приобрели [Тяжёлый спаренный миниган] за 100 крышек. У вас остался 1 свободный слот в инвентаре.
00:31:35 (03:59:42) (chat)  SupremeLolka: wlgDance wlgDance wlgDance wlgDance
00:31:38 (03:59:45) (chat)  SwampDoctor113: mcaT mcaT mcaT mcaT mcaT mcaT mcaT mcaT mcaT mcaT
00:31:38 (03:59:46) (chat)  Fomikrai: Dance Dance Dance Dance Dance
00:31:39 (03:59:46) (chat)  Mutabor_Shooter: KoolDoge
00:31:39 (03:59:46) (chat)  MaKc_nAy4KoB: wlg5 wlg5 wlg5
00:31:40 (03:59:47) (chat)  angry_ytka: wlgDance wlgDance wlgDance wlgDance wlgDance wlgDance wlgDance
00:31:44 (03:59:51) (chat)  bobuika: wlgDance wlgDance wlgDance wlgDance wlgDance
00:31:45 (03:59:53) (chat)  GlebBio: !wasteland
00:31:46 (03:59:53) (chat)  wlgboy: @GlebBio вы уже находитесь в пустоши. Времени до возвращения: 7 минут.
00:31:47 (03:59:54) (chat)  SwampDoctor113: Найс
00:31:47 (03:59:54) (chat)  wlgboy: информация об игровых релизах в сентябре: https://vk.cc/9M1a8T
00:31:54 (04:00:02) (chat)  graaaanet: wlgDance wlgDance wlgDance wlgDance wlgDance wlgCorn wlgCorn
00:32:03 (04:00:10) (chat)  SwampDoctor113: Словно мед в уши
00:32:03 (04:00:11) (chat)  Mrs_Christ: rickPls
00:32:05 (04:00:13) (chat)  Respya: pepeD pepeD pepeD pepeD
00:32:09 (04:00:17) (chat)  MaKc_nAy4KoB: Музыка ТОП
00:32:14 (04:00:22) (chat)  Mutabor_Shooter: iron95Pls
00:32:15 (04:00:23) (chat)  angry_ytka: wlgDance wlgDance wlgDance wlgDance wlgDance wlgDance
00:32:16 (04:00:23) (chat)  SwampDoctor113: mcaT TPFufun mcaT TPFufun mcaT TPFufun BlessRNG
00:32:22 (04:00:29) (chat)  Myfta: армия гоблинов не приходит если ты под землей
00:32:24 (04:00:31) (chat)  KURT_KD: wlgDance wlgDance wlgDance wlgDance wlgDance wlgDance wlgDance
00:32:32 (04:00:39) (chat)  hohlomaan: SMOrc SMOrc SMOrc SMOrc SMOrc SMOrc SMOrc SMOrc SMOrc SMOrc SMOrc SMOrc SMOrc SMOrc SMOrc j
00:32:32 (04:00:40) (chat)  MaKc_nAy4KoB: У этой игры есть финал ?
00:32:45 (04:00:52) (chat)  Mudriy_krolik: !wasteland
00:32:45 (04:00:53) (chat)  wlgboy: @Mudriy_krolik вы ушли в пустошь, оставив залог в 15 крышечек. Возвращение через 35 минут.
00:32:47 (04:00:54) (chat)  KURT_KD: !wasteland
00:32:47 (04:00:55) (chat)  wlgboy: @KURT_KD вы уже находитесь в пустоши. Времени до возвращения: 3 минуты.
00:32:53 (04:01:01) (chat)  hohlomaan: Нету финала, лол
00:32:55 (04:01:02) (chat)  angry_ytka: wlgDance wlgHype wlgDance wlgHype wlgDance wlgHype wlgDance wlgHype wlgDance wlgHype wlgDance
00:32:57 (04:01:04) (chat)  SupremeLolka: @makc_nay4kob, да, лунный босс
00:33:00 (04:01:07) (chat)  GhostRay: @MaKc_nAy4KoB убить всех боссов
00:33:05 (04:01:12) (chat)  nikolay_apostol: Вот Это У них Хата я бы и сам в такой жил....
00:33:07 (04:01:14) (chat)  wlgboy: ВНИМАНИЕ! До конца сентября скидка 50% на подписку и переподписку! Порадуй стримера и себя! Kappa //
00:33:13 (04:01:20) (chat)  kenzi4: че за читерская пушка
00:33:14 (04:01:21) (chat)  MaKc_nAy4KoB: Спасибо. Прикольно.
00:33:17 (04:01:24) (chat)  belyj_i_pushistyj: статуи можно активировать проводами и кнопками и со статуй будут мобы спавниться
00:33:30 (04:01:37) (chat)  GhostRay: но на переподписку не 50% WutFace
00:33:39 (04:01:46) (chat)  GhostRay: DansGame *
00:33:39 (04:01:46) (chat)  wlgboy: @artemkayo0_o вы вернулись из пустоши - залог возвращен. Медперсонал убежища заметил у вас в костюме прокол. Необходимо провести обследование. Это займет 129 секунд. Вы смогли найти мешочек с 27 крышечками. Теперь на вашем балансе 627 крышечек.
00:33:45 (04:01:52) (chat)  SupremeLolka: @kenzi4 это одна из начальных пушек =\
00:33:48 (04:01:56) (chat)  Skvatorix: !buy
00:33:49 (04:01:56) (chat)  wlgboy: @Skvatorix вы приобрели [Диск шпиона НКР] за 100 крышек. У вас не осталось свободных слотов в инвентаре.
00:33:57 (04:02:04) (chat)  ASAGIUS: @GhostRay продление подарка и переход с прайма MiniK
00:33:57 (04:02:04) (chat)  wlgboy: @evil_ytka вы вернулись из пустоши - залог возвращен. Вы смогли найти мешочек с 21 крышечкой. Теперь на вашем балансе 49538 крышечек.
00:33:57 (04:02:04) (chat)  bobuika: @ghostray обидно, да wlgCry
00:33:58 (04:02:05) (chat)  Grajord: если переподписка от подарочно то скидка есть
00:34:25 (04:02:32) (chat)  kenzi4: @SupremeLolka казуально как-то получается
00:34:27 (04:02:34) (chat)  wlgboy: хочешь узнать, когда будет следующий стрим? Подпишись на уведомления посредством личных сообщений ВКонтакте. Это удобно! https://vk.cc/9rSVZA
00:34:32 (04:02:40) (chat)  angry_ytka: @ghostray если с телефона то будет показывать обычную сумму с браузера 50% ну у меня так по крайней мере wlgDuck
00:34:40 (04:02:47) (chat)  SupremeLolka: @kenzi4, ??
00:34:55 (04:03:02) (chat)  GhostRay: @angry_ytka с телефона не скидки, твич это сразу сказали
00:35:00 (04:03:07) (chat)  kenzi4: @SupremeLolka нууу в смысле ПРОСТО
00:35:04 (04:03:12) (chat)  Respya: KoolDoge KoolDoge KoolDoge KoolDoge
00:35:10 (04:03:17) (chat)  Skvatorix: !inv
00:35:10 (04:03:17) (chat)  wlgboy: @Skvatorix у вас в инвентаре следующие предметы: 1. [Гаубичный снаряд] 2. [Коробка для пожертвований] 3. [Тяжёлый спаренный миниган] 4. [Диск шпиона НКР]. Занято слотов: [4/4]
00:35:20 (04:03:27) (chat)  wlgboy: @KURT_KD вы вернулись из пустоши - залог возвращен. Вы смогли найти мешочек с 27 крышечками. Теперь на вашем балансе 257 крышечек.
00:35:28 (04:03:35) (chat)  heinrichkenig: @WELOVEGAMES А вы первый раз играете или уже проходили игру????
00:35:29 (04:03:37) (chat)  Skvatorix: !wasteland
00:35:30 (04:03:37) (chat)  wlgboy: @Skvatorix вы ушли в пустошь, оставив залог в 15 крышечек. Возвращение через 42 минуты.
00:35:30 (04:03:37) (chat)  angry_ytka: @ghostray ну а с браузера есть же wlgPled
00:35:38 (04:03:45) (chat)  ElfiBelka: !inv
00:35:38 (04:03:46) (chat)  wlgboy: @ElfiBelka у вас в инвентаре следующие предметы: 1. [Форма заявки на получение детали]. Занято слотов: [1/9]
00:35:40 (04:03:47) (chat)  KURT_KD: wlgWow wlgWow wlgWow wlgWow wlgWow wlgWow wlgWow wlgWow wlgWow
00:35:40 (04:03:47) (chat)  GhostRay: @angry_ytka на саб, но не ресах PixelBob
00:35:44 (04:03:51) (chat)  Darkraris: они все строятся или уже убили стену?
00:35:46 (04:03:53) (chat)  wizard1sback: плоть ещё не убивали?
00:35:47 (04:03:54) (chat)  wlgboy: @arti_PS вы вернулись из пустоши - залог возвращен. Медперсонал убежища заметил у вас в костюме прокол. Необходимо провести обследование. Это займет 94 секунды. Вы обнаружили редкий сундучок с 91 крышечкой. Теперь на вашем балансе 15191 крышечка.
00:35:47 (04:03:54) (chat)  Mrs_Christ: !wasteland
00:35:47 (04:03:55) (chat)  wlgboy: @Mrs_Christ вы ушли в пустошь, оставив залог в 15 крышечек. Возвращение через 33 минуты.
00:35:51 (04:03:59) (chat)  SupremeLolka: @kenzi4, ну так урон ниочём, а то что ману не тратит - бонус сета из метеорита... потом они будут выбивать по истине сильные пушки
00:35:52 (04:04:00) (chat)  GhostRay: @angry_ytka ресаб*
00:35:56 (04:04:03) (chat)  Txipka: Боже, Террка в 219 веке, аж улыбка на лице
00:35:56 (04:04:03) (chat)  Mutabor_Shooter: KoolDoge
00:35:56 (04:04:04) (chat)  wlgboy: @ice_bearrr вы вернулись из пустоши - залог возвращен. Медперсонал убежища заметил у вас в костюме прокол. Необходимо провести обследование. Это займет 107 секунд. Вы смогли найти мешочек с 29 крышечками. Теперь на вашем балансе 20439 крышечек.
00:36:04 (04:04:12) (chat)  Respya: @kenzi4 вообще она из падающего метеорита крафтится, а это далеко не в начале игры
00:36:07 (04:04:14) (chat)  wlgboy: ВНИМАНИЕ! До конца сентября скидка 50% на подписку и переподписку! Порадуй стримера и себя! Kappa //
00:36:18 (04:04:25) (chat)  angry_ytka: @ghostray это да wlgSad
00:36:22 (04:04:30) (chat)  heinrichkenig: Меня игнорят :с
00:36:32 (04:04:40) (chat)  SvAtE: @WELOVEGAMES чтоб не разбиваться нужны или крылья или подкова в слоте акссесуара
00:36:35 (04:04:42) (chat)  crit1cal_hit: !wasteland
00:36:41 (04:04:48) (chat)  GhostRay: @heinrichkenig он не отвечает чату
00:36:43 (04:04:50) (chat)  angry_ytka: @heinrichkenig Денис не читает чат он отдыхает
00:36:47 (04:04:54) (chat)  SupremeLolka: @heinrichkenig он не читает чат сегодня
00:36:51 (04:04:58) (chat)  Respya: @heinrichkenig, Ден с Кати играли, оба Димы в первый раз играют
00:36:53 (04:05:00) (chat)  Grajord: @SvAtE или шарики вроде
00:36:54 (04:05:01) (chat)  Skvatorix: @ghostray отвечает, но редко
00:36:57 (04:05:05) (chat)  Mrs_Christ: @heinrichkenig Он не общается с чатом сегодня. Просто отдыхает
00:37:16 (04:05:23) (chat)  GlebBio: @heinrichkenig как много людей тебе ответило )))
00:37:28 (04:05:36) (chat)  GlebBio: !wasteland
00:37:28 (04:05:36) (chat)  heinrichkenig: Нифига как много ответов :D Спасибо, я просто не знал :с
00:37:29 (04:05:36) (chat)  wlgboy: @GlebBio вы уже находитесь в пустоши. Времени до возвращения: 56 секунд.
00:37:38 (04:05:45) (chat)  Grajord: WLG запустил стрим просто так, а так он сейчас играет с друзьями а не стримит
00:37:41 (04:05:48) (chat)  SupremeLolka: wlgPled
00:37:44 (04:05:51) (chat)  moh_bolotniy: !wasteland
00:37:44 (04:05:51) (chat)  wlgboy: @moh_bolotniy вы уже находитесь в пустоши. Времени до возвращения: 20 минут.
00:37:44 (04:05:51) (chat)  GlebBio: Сейчас будет микробан wlgMug wlgMug wlgMug
00:37:47 (04:05:54) (chat)  SvAtE: @Grajord шарик высоту прыжка увеличивает. но его комбить с подковой можно
00:37:50 (04:05:57) (chat)  angry_ytka: @glebbio аж обидно стало что не кто не отвечает нам так LUL
00:38:07 (04:06:14) (chat)  wlgboy: скидка до 20% на продукцию ASUS. Приятных покупок с промокодом WLG по ссылке: https://vk.cc/9ivAk7
00:38:08 (04:06:15) (chat)  King_of_ICQ_: SMOrc SMOrc SMOrc
00:38:15 (04:06:22) (chat)  SupremeLolka: уууу слился
00:38:20 (04:06:28) (chat)  MaKc_nAy4KoB: i7actyM9y
00:38:21 (04:06:28) (chat)  SvAtE: тот момент когда пилил террарку вдоль и поперек раз 15 Kappa Ностальжи
00:38:23 (04:06:30) (chat)  s0ul_harvester: А что за Г на заднем плане у Дэна играет?
00:38:25 (04:06:32) (chat)  Anashi_Dai: я бя вообще не понимаю, как играть в эту игру!)
00:38:25 (04:06:32) (chat)  wlgboy: @GlebBio вы вернулись из пустоши - залог возвращен. Вы смогли найти мешочек с 28 крышечками. Теперь на вашем балансе 1155 крышечек.
00:38:30 (04:06:38) (chat)  evilsky88: что случилось?
00:38:31 (04:06:39) (chat)  MaKc_nAy4KoB: Он сказал что устал
00:38:35 (04:06:43) (chat)  bobuika: wlgScared wlgScared wlgScared wlgScared
00:38:40 (04:06:47) (chat)  D3ndro1d: ResidentSleeper
00:38:43 (04:06:51) (chat)  kenzi4: не хорошо получилось
00:38:44 (04:06:52) (chat)  angry_ytka: он устал wlgZz
00:38:44 (04:06:52) (chat)  Yoksare: Да может плохо ему стало ёмаё
00:38:46 (04:06:53) (chat)  trancemaster124: LUL
00:38:54 (04:07:01) (chat)  aivaraszzz: @WELOVEGAMES просто наигрался
00:39:00 (04:07:07) (chat)  Farewell666: взрослые же люди,ну
00:39:00 (04:07:07) (chat)  RadioZefir: Денис из него все соки выжал))
00:39:01 (04:07:08) (chat)  nika_nika22: обиженка
00:39:05 (04:07:12) (chat)  moh_bolotniy: Устал, говорит
00:39:07 (04:07:14) (chat)  wlgboy: ВНИМАНИЕ! До конца сентября скидка 50% на подписку и переподписку! Порадуй стримера и себя! Kappa //
00:39:09 (04:07:16) (chat)  YokoLi33ner: может суши были не свежие,и ему прижало клапан
00:39:09 (04:07:16) (chat)  barma_51: где-то я такое уже видел wlgPeka
00:39:17 (04:07:25) (chat)  Mrs_Christ: Он на перерыв ушел
00:39:18 (04:07:25) (chat)  GlebBio: @moh_bolotniy Привет кароч))
00:39:24 (04:07:31) (chat)  moh_bolotniy: wlg5
00:39:27 (04:07:34) (chat)  cjladkaya_cojlb: Это было странно))
00:39:36 (04:07:43) (chat)  EMOBLAZE: Ну очень странно, что он резко вышел за минуту до того, как они босса будут убивать
00:39:37 (04:07:45) (chat)  Lyubim_: по-моему Кати там самая мужественная
00:39:39 (04:07:47) (chat)  SwampDoctor113: Ден краснеет точно говорю Jebaited
00:39:42 (04:07:49) (chat)  Mrs_Christ: @pro100toptrader Не нужно никого оскорблять
00:39:43 (04:07:50) (chat)  YokoLi33ner: из за суши прижало клапан
00:39:45 (04:07:53) (chat)  kenzi4: KappaPride
00:39:47 (04:07:54) (chat)  wlgboy: хочешь узнать, когда будет следующий стрим? Подпишись на уведомления посредством личных сообщений ВКонтакте. Это удобно! https://vk.cc/9rSVZA
00:39:50 (04:07:57) (chat)  GlebBio: !caps
00:39:50 (04:07:57) (chat)  wlgboy: @GlebBio ваш баланс составляет 1155 крышечек.
00:39:55 (04:08:03) (chat)  kenzi4: одобряю)
00:39:56 (04:08:04) (chat)  GlebBio: !wasteland
00:39:57 (04:08:04) (chat)  wlgboy: @GlebBio вы ушли в пустошь, оставив залог в 15 крышечек. Возвращение через 57 минут.
00:39:58 (04:08:05) (chat)  IProROK: извинись
00:40:00 (04:08:07) (chat)  Yoksare: Ага чтобы нпс CoolStoryBob
00:40:03 (04:08:11) (chat)  SupremeLolka: LUL
00:40:07 (04:08:14) (chat)  RadioZefir: Может он есть хочет))
00:40:09 (04:08:16) (chat)  ThislsDaWey: Ля какая архитектура SeemsGood
00:40:09 (04:08:17) (chat)  reflexsik1988: @WELOVEGAMES он стрим тоже офнул
00:40:09 (04:08:17) (chat)  angry_ytka: @lyubim_ у этой женщины стальные сам понимаешь что wlgEz
00:40:18 (04:08:25) (chat)  SupremeLolka: CoolStoryBob CoolStoryBob
00:40:23 (04:08:31) (chat)  ThislsDaWey: Они все бубнят? LUL
00:40:26 (04:08:33) (chat)  ksanti_spb: он ушел на 15 мин
00:40:28 (04:08:35) (chat)  bag1rka: wlgFp
00:40:30 (04:08:38) (chat)  kenzi4: как дети малые LUL
00:40:32 (04:08:39) (chat)  Nospire: У Дангара "Перерыв" на твиче
00:40:32 (04:08:40) (chat)  YokoLi33ner: кекает
00:40:33 (04:08:40) (chat)  evilsky88: громкую связь не забудь
00:40:33 (04:08:41) (chat)  Elankan: хороший способ победить заплакать первым
00:40:35 (04:08:42) (chat)  shadow_blade77: Извинись!!!
00:40:35 (04:08:43) (chat)  IProROK: извинись будь мужчиной
00:40:37 (04:08:44) (chat)  malarad: дангар на перерыве
00:40:38 (04:08:45) (chat)  FireFly_Serenity: ахаха Дангар ливнул чтоль? igorToxic igorToxic igorToxic
00:40:39 (04:08:46) (chat)  SAD4119590: хаахаха дангар как баба
00:40:39 (04:08:47) (chat)  RadioZefir: Пицурик привезли
00:40:43 (04:08:50) (chat)  wlgboy: @Nospire вы вернулись из пустоши - залог возвращен. Вы обнаружили редкий сундучок с 76 крышечками. Теперь на вашем балансе 4404 крышечки.
00:40:43 (04:08:50) (chat)  RadioZefir: Хах
00:40:44 (04:08:51) (chat)  angry_ytka: на 15 минут он ушёл wlgPled
00:40:48 (04:08:55) (chat)  andreevdima30: Шо за страсти тут у них, лол
00:40:48 (04:08:56) (chat)  YokoLi33ner: суши давят
00:40:49 (04:08:56) (chat)  SwampDoctor113: Детсад )
00:40:51 (04:08:58) (chat)  Yoksare: извинис! SMOrc SMOrc SMOrc
00:40:52 (04:08:59) (chat)  s0ul_harvester: Ну, она права, сегодня весь стрим такой...
00:40:58 (04:09:05) (chat)  aivaraszzz: @WELOVEGAMES он просто наигрался !!!!
00:41:01 (04:09:08) (chat)  Yoksare: да из-за стены
00:41:03 (04:09:10) (chat)  Respya: Слишком серьёзно воспринимают игру. Ден, реально, позвони, ничего такого в звонке нет. А вот Дангар ведёт себя очень странно
00:41:03 (04:09:11) (chat)  Skvatorix: впечатлительные ребята
00:41:04 (04:09:11) (chat)  cjladkaya_cojlb: да какое извинение елы-палы
00:41:05 (04:09:13) (chat)  Dimka90: Ссора короче.
00:41:05 (04:09:13) (chat)  moh_bolotniy: Да просто устал он!
00:41:06 (04:09:13) (chat)  imnorix: табличка с надписью ты помидор
00:41:06 (04:09:13) (chat)  s0ul_harvester: Просто бывает всегда последняя капля..
00:41:09 (04:09:16) (chat)  EMOBLAZE: Не может он просто наиграться
00:41:09 (04:09:16) (chat)  Yoksare: ну задолбало прост и всё
00:41:13 (04:09:20) (chat)  1Grotesque: У дангара походу все еще месячные
00:41:13 (04:09:20) (chat)  aktarium: BibleThump BibleThump BibleThump
00:41:14 (04:09:22) (chat)  Farewell666: стримлеры такие обидчивые?
00:41:16 (04:09:24) (chat)  Real_Artful: @WELOVEGAMES https://clips.twitch.tv/TriumphantProudGiraffeStinkyCheese
00:41:29 (04:09:37) (chat)  s0ulbreaker23: @WELOVEGAMES я думал рн просто устал, он не чмиал. Перед уодом сказал что во что-то другое
00:41:30 (04:09:37) (chat)  kenzi4: ты закрыл мою комнату камнем BabyRage BabyRage PogChamp BabyRage BabyRage BabyRage
00:41:31 (04:09:38) (chat)  h_jack_i: хейтеры)
00:41:31 (04:09:38) (chat)  Mutabor_Shooter: у Дангара какие-то пляски
00:41:32 (04:09:39) (chat)  s0ul_harvester: Но, не ожидал, что Дангар такой слабенький
00:41:40 (04:09:47) (chat)  Mrs_Christ: Да у вас вечно что-то случается, ребятишки вы мои любимые Kermitpls
00:41:41 (04:09:48) (chat)  cjladkaya_cojlb: это забавно, а не обидно. но позвонить стотт
00:41:45 (04:09:52) (chat)  aivaraszzz: @WELOVEGAMES я был на его стриме он просто устал
00:41:53 (04:10:00) (chat)  MaKc_nAy4KoB: Может Дангар на горшок захотел ?
00:41:55 (04:10:02) (chat)  Lyubim_: может и вправду резко случилось что, не успел объяснить
00:41:58 (04:10:05) (chat)  EMOBLAZE: Реально из-за стены...
00:41:59 (04:10:06) (chat)  ThislsDaWey: А что они не поделили? Дом? Kappa
