18:37:48 (00:00:06) (chat)  Kate_Rey: алло?
20:32:33 (01:54:52) (chat)  aaabugs: @ArtGamesLP здесь у Кармика вчера загорелось
20:32:37 (01:54:55) (chat)  Luminus_fox: @RiskayushuiPyosik Как Ваше ничего?
20:32:40 (01:54:58) (chat)  RiskayushuiPyosik: Модеров нет, бундуем! blobDance
20:32:45 (01:55:03) (chat)  RiskayushuiPyosik: @Luminus_fox ужасно LUL
20:32:54 (01:55:12) (chat)  Noelle666: bufaChatPower BongoPenguin
20:33:01 (01:55:19) (chat)  Snejok368: опять эти призраки
20:33:03 (01:55:21) (chat)  RiskayushuiPyosik: BongoPenguin
20:33:08 (01:55:26) (chat)  RiskayushuiPyosik: blobDance blobDance blobDance
20:33:13 (01:55:31) (chat)  KurokiUmi: Готовим вазелин
20:33:19 (01:55:38) (chat)  zeitgeistxxl: PepegaShake
20:33:23 (01:55:41) (chat)  jubi_ju: artgam2Scared artgam2Scared artgam2Scared artgam2Scared artgam2Scared
20:33:23 (01:55:42) (chat)  RiskayushuiPyosik: Бундь blobDance blobDance blobDance
20:33:25 (01:55:43) (chat)  Noelle666: blobDance blobDance blobDance blobDance blobDance blobDance
20:33:26 (01:55:44) (chat)  pechenbki: peepoSpeed
20:33:27 (01:55:45) (chat)  Luminus_fox: blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance
20:33:30 (01:55:48) (chat)  Luminus_fox: blobDance blobDance blobDance blobDance
20:33:32 (01:55:51) (chat)  jubi_ju: чат, хватит
20:33:34 (01:55:52) (chat)  Luminus_fox: blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance
20:33:37 (01:55:55) (chat)  trom6one: blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance
20:33:40 (01:55:58) (chat)  RiskayushuiPyosik: blobDance blobDance blobDance blobDance
20:33:40 (01:55:58) (chat)  Luminus_fox: blobDance blobDance blobDance blobDance
20:33:44 (01:56:02) (chat)  Luminus_fox: blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance
20:33:45 (01:56:03) (chat)  igorexa19: Что с чатом?
20:33:47 (01:56:06) (chat)  RiskayushuiPyosik: blobDance blobDance blobDance
20:33:49 (01:56:08) (chat)  Konaken_Skywalker: 26.5 часов @artgameslp
20:33:50 (01:56:08) (chat)  Snejok368: я бы не выдержал сутки Death Stranding
20:33:50 (01:56:08) (chat)  9_enot_you_not: а у нас остались еще болы? на этих бт ж они тоже действуют? Интересно, как
20:33:51 (01:56:10) (chat)  RiskayushuiPyosik: Чат бундует LUL
20:33:53 (01:56:11) (chat)  jubi_ju: чат, серьезно, хватит, мы же общаемся тут
20:33:55 (01:56:13) (chat)  mrPotatoBringer: гыгых, модеров нет Keepo
20:33:56 (01:56:14) (chat)  Noelle666: blobDance blobDance blobDance blobDance blobDance blobDance
20:33:59 (01:56:17) (chat)  mrPotatoBringer: SchubertWalk SchubertWalk SchubertWalk SchubertWalk SchubertWalk SchubertWalk SchubertWalk SchubertWalk SchubertWalk
20:34:00 (01:56:19) (chat)  Snejok368: хорош спамить чат
20:34:02 (01:56:21) (chat)  RiskayushuiPyosik: blobDance blobDance blobDance blobDance
20:34:04 (01:56:22) (chat)  Luminus_fox: blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance
20:34:08 (01:56:26) (chat)  Avatariz: blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance
20:34:08 (01:56:26) (chat)  pechenbki: PepePls
20:34:13 (01:56:31) (chat)  Leon_TK: blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance
20:34:15 (01:56:33) (chat)  Dark__Embrace: Мои глазааа
20:34:20 (01:56:38) (chat)  ErickMoreno777: Привет, Тёма. Привет, чат.)
20:34:24 (01:56:43) (chat)  Luminus_fox: blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance
20:34:27 (01:56:46) (chat)  jubi_ju: как хорошо что у меня нет беттер тв
20:34:31 (01:56:49) (chat)  Luminus_fox: @ErickMoreno777 artgam2AGHeavyHorns
20:34:32 (01:56:51) (chat)  Noelle666: @ErickMoreno777 HeyGuys
20:34:32 (01:56:51) (chat)  itaryh: Я правильно понимаю, что мы атакуем противника, закидывая его собственными экскрементами?
20:34:33 (01:56:51) (chat)  RiskayushuiPyosik: blobDance blobDance blobDance blobDance blobDance blobDance
20:34:38 (01:56:56) (chat)  trom6one: blobDance
20:34:43 (01:57:01) (chat)  Snejok368: а с Боссом уже дрался?
20:34:49 (01:57:07) (chat)  Leon_TK: POGSLIDE POGSLIDE POGSLIDE POGSLIDE POGSLIDE POGSLIDE POGSLIDE POGSLIDE POGSLIDER POGSLIDER POGSLIDER POGSLIDER POGSLIDER POGSLIDER POGSLIDER POGSLIDER POGSLIDER
20:34:50 (01:57:08) (chat)  Luminus_fox: blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance
20:34:50 (01:57:08) (chat)  Dark__Embrace: @itaryh, не только ими
20:34:53 (01:57:11) (chat)  ErickMoreno777: Шо тут происходит?)
20:35:01 (01:57:19) (chat)  RiskayushuiPyosik: @ErickMoreno777 чат бундует
20:35:02 (01:57:20) (chat)  Noelle666: @itaryh да, плюс кровью и душевой водой
20:35:06 (01:57:25) (chat)  anzay_ru: тут на мотоцикле норм
20:35:08 (01:57:27) (chat)  jubi_ju: artgam2FACEPALM
20:35:12 (01:57:31) (chat)  itaryh: @dark__embrace DansGame
20:35:20 (01:57:38) (chat)  trom6one: страшна
20:35:24 (01:57:42) (chat)  Luminus_fox: blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance
20:35:34 (01:57:52) (chat)  Luminus_fox: blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance
20:35:35 (01:57:53) (chat)  Snejok368: ох уж этот черный дождик
20:35:39 (01:57:57) (chat)  ErickMoreno777: RiskayushuiPyosik Против чего на этот раз?)
20:35:41 (01:57:59) (chat)  Luminus_fox: blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance
20:35:45 (01:58:03) (chat)  XerkusDotPro: @ArtGamesLP ну почему же, лестничку поставили. Но у реки.
20:35:46 (01:58:04) (chat)  jubi_ju: приехали и сдохли LUL
20:35:47 (01:58:06) (chat)  Noelle666: эпилепсия в чате
20:35:48 (01:58:06) (chat)  Snejok368: хорош спамить чат
20:35:50 (01:58:08) (chat)  Luminus_fox: blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance
20:35:52 (01:58:11) (chat)  EnJiL: а ведь модеры могут и запись посмотреть artgam2Uknow artgam2Uknow LUL
20:35:55 (01:58:13) (chat)  mamka_dan: blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance
20:35:57 (01:58:15) (chat)  heavenkot: artgam2ALO
20:36:01 (01:58:19) (chat)  jubi_ju: @ArtGamesLP сделай что-нибудь с чатом, плес
20:36:05 (01:58:23) (chat)  Ziev_crbq: так а как работает мультиплеер уже разобрались?
20:36:12 (01:58:30) (chat)  mendark_2019: Нормальный дождик, у меня на даче также
20:36:22 (01:58:40) (chat)  Snejok368: реально годные комменты улетают из за ваших Блоб дэнс
20:36:23 (01:58:41) (chat)  Konaken_Skywalker: модер приди порядок наведи BibleThump
20:36:28 (01:58:46) (chat)  Luminus_fox: Пенная вечеринка bufaLewd bufaLewd evosayLOL evosayLOL
20:36:29 (01:58:48) (chat)  heavenkot: успокойте слойку artgam2ALO
20:36:31 (01:58:49) (chat)  Luminus_fox: blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance
20:36:34 (01:58:52) (chat)  XerkusDotPro: обычный челябинский дождик
20:36:39 (01:58:57) (chat)  RiskayushuiPyosik: blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance
20:36:52 (01:59:10) (chat)  jubi_ju: @ArtGamesLP Теема, помоги чату, мы тонем
20:36:57 (01:59:15) (chat)  RiskayushuiPyosik: blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance
20:37:01 (01:59:19) (chat)  vnikopol: кидай какаху
20:37:05 (01:59:23) (chat)  Snejok368: включите саб мод тогда)
20:37:09 (01:59:27) (chat)  Konaken_Skywalker: оно эволюционирует WutFace
20:37:09 (01:59:28) (chat)  gwen_devil: ну вот заспамили
20:37:11 (01:59:29) (chat)  greatday007: NotLikeThis NotLikeThis NotLikeThis artgam2AGHeavyHorns
20:37:16 (01:59:34) (chat)  RiskayushuiPyosik: @Snejok368 тут итак одни сабы LUL
20:37:18 (01:59:36) (chat)  AlexeiHammer: Ну вот зачем спамить эту хрень?
20:37:19 (01:59:37) (chat)  jubi_ju: так не видит никто, модеров нет, Тёма в игре
20:37:22 (01:59:40) (chat)  eshmothfucwillams: @Snejok368 так сабы и хулиганють
20:37:28 (01:59:46) (chat)  fantik_2009: blobDance blobDance blobDance blobDance blobDance
20:37:33 (01:59:51) (chat)  trom6one: SexyOfficer
20:37:33 (01:59:52) (chat)  jubi_ju: ребята, вы ведь тут не одни
20:37:34 (01:59:52) (chat)  KurokiUmi: Этот плотный такой
20:37:37 (01:59:55) (chat)  Luminus_fox: blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance
20:37:39 (01:59:57) (chat)  RiskayushuiPyosik: @AlexeiHammer blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance
20:37:43 (02:00:01) (chat)  trom6one: флексит
20:37:46 (02:00:05) (chat)  aaarggh: Судя по атмосфере второй боссфайт на подходе
20:37:47 (02:00:05) (chat)  aaabugs: так сабы и портят
20:37:52 (02:00:10) (chat)  Snejok368: ясно
20:37:59 (02:00:17) (chat)  EnJiL: неправда
20:38:05 (02:00:23) (chat)  pechenbki: нонсабы, боритесь
20:38:08 (02:00:26) (chat)  jubi_ju: artgam2FACEPALM artgam2FACEPALM
20:38:10 (02:00:28) (chat)  Luminus_fox: @RiskayushuiPyosik А чо ужасно то?
20:38:12 (02:00:30) (chat)  pechenbki: мы выстоим
20:38:28 (02:00:46) (chat)  gwen_devil: пфф с чем бороться то?
20:38:28 (02:00:47) (chat)  RiskayushuiPyosik: @Luminus_fox та я тут всякие юридические штуки делаю. Голову сломал artgam2Iq20
20:38:29 (02:00:47) (chat)  jubi_ju: слойку замьютили?
20:38:32 (02:00:50) (chat)  Snejok368: хиральность повышена!
20:38:42 (02:01:01) (chat)  Luminus_fox: @RiskayushuiPyosik Жоский ты. А зачем?
20:38:46 (02:01:04) (chat)  Snejok368: Темащка аккуратно!
20:38:49 (02:01:07) (chat)  vnikopol: дыхание
20:38:56 (02:01:15) (chat)  mamka_dan: @RiskayushuiPyosik Привет VoHiYo
20:39:04 (02:01:22) (chat)  RiskayushuiPyosik: @mamka_dan VoHiYo
20:39:16 (02:01:34) (chat)  RiskayushuiPyosik: @Luminus_fox та тут надо, помочь маме
20:39:19 (02:01:38) (chat)  itaryh: Кто-то обоссался от страха
20:39:20 (02:01:38) (chat)  Snejok368: видимо недонесли) их призраки сожрали
20:39:26 (02:01:45) (chat)  sloyka_s_sirom: Таня, дай пермит LUL
20:39:27 (02:01:45) (chat)  call_me_dyadya: Что это за место? artgam2Scared
20:39:32 (02:01:50) (chat)  RiskayushuiPyosik: Модеры расстреливают бундующих LUL
20:39:33 (02:01:51) (chat)  Luminus_fox: @RiskayushuiPyosik Мама это святое.
20:39:40 (02:01:59) (chat)  Tanya_MONSTER_Games: @sloyka_s_sirom, я пермач могу дать)
20:39:41 (02:01:59) (chat)  RiskayushuiPyosik: @Luminus_fox ага. А банки - зло
20:39:51 (02:02:09) (chat)  RiskayushuiPyosik: @Tanya_MONSTER_Games приветь VoHiYo
20:39:55 (02:02:13) (chat)  dima_onitsurugi: очень странные существа
20:39:58 (02:02:16) (chat)  jubi_ju: @Tanya_MONSTER_Games святой спаситель
20:40:00 (02:02:18) (chat)  Luminus_fox: @RiskayushuiPyosik Ну если только они не с солениями. То да LUL
20:40:02 (02:02:20) (chat)  anzay_ru: если брошено тонны груза, значит не боссфайт
20:40:05 (02:02:23) (chat)  mamka_dan: @Tanya_MONSTER_Games Таня VoHiYo
20:40:09 (02:02:27) (chat)  Nightbot: На разные суммы доната стоят разные оповещения. АЦКИЕ АЛЕРТЫ на 666 и 6666 рублей. . От 50 до 299, от 300 до 499, от 500 до 799, от 800 до 999, от 1000 до 1299, от 1300 и так далее. https://donatepay.ru/don/artgames
20:40:10 (02:02:28) (chat)  RiskayushuiPyosik: @Luminus_fox LUL
20:40:12 (02:02:30) (chat)  sloyka_s_sirom: @Tanya_MONSTER_Games вот дала бы мне... пермит Kappa И этого бы не было!
20:40:15 (02:02:33) (chat)  Andjey_Kharkov: @ArtGamesLP Тем,у тебя сюжетный груз похоже сломается счас, контейнер ужо сдох
20:40:18 (02:02:36) (chat)  Luminus_fox: @Tanya_MONSTER_Games Танещщка GivePLZ evosayNyamka evosayNyamka bufaLove bufaLove
20:40:31 (02:02:49) (chat)  munuton: Ладно бы нонсабы такую херь творили :/
20:40:36 (02:02:55) (chat)  jubi_ju: минус всё
20:40:40 (02:02:58) (chat)  ifrit_n12: ремай
20:40:44 (02:03:02) (chat)  TsaiMidus: artgam2AGHeavyHorns wyccDog wlg5
20:40:50 (02:03:08) (chat)  DragoFlugegecheimen: @ArtGamesLP я так понял чем выше горы - тем больше тварей?
20:40:53 (02:03:11) (chat)  gwen_devil: нонсабы адекватный народ не надо тут
20:40:54 (02:03:12) (chat)  vnikopol: дождь не кончается :(
20:40:55 (02:03:13) (chat)  Luminus_fox: @Tanya_MONSTER_Games Смотрел в записи Сироту Косу. Это эпично! tanyagMLG tanyagMLG tanyagMLG
20:41:05 (02:03:23) (chat)  Snejok368: чем выше любовь тем ниже ну вы поняли
20:41:05 (02:03:24) (chat)  Nightbot: Наш сервер в ДИСКОРДЕ. Присоединяйттесь: https://discordapp.com/invite/999ZDJs
20:41:21 (02:03:39) (chat)  TsaiMidus: artgam2AGHeavyHorns BabyRage artgam2AGHeavyHorns
20:41:33 (02:03:52) (chat)  jubi_ju: @ArtGamesLP у тебя дощ портит грузы
20:41:36 (02:03:54) (chat)  tamagotchi991: жив цел курьер
20:41:48 (02:04:06) (chat)  Snejok368: жив цел курочка!
20:41:49 (02:04:07) (chat)  trom6one: жесть какая, вышел на балкон, а там таберу у кого-то играет
20:41:49 (02:04:08) (chat)  Luminus_fox: Я не плачу, это просто дощщьь.
20:42:01 (02:04:19) (chat)  Tanya_MONSTER_Games: !permit sloyka_s_sirom
20:42:01 (02:04:19) (chat)  Nightbot: @Tanya_MONSTER_Games -> sloyka_s_sirom has been granted permission to post a link for 60 seconds.
20:42:02 (02:04:20) (chat)  call_me_dyadya: Не курьер, а ходячий шкаф M&Mjc
20:42:05 (02:04:23) (chat)  sloyka_s_sirom: https://clips.twitch.tv/AdorableWonderfulBubbleteaNomNom
20:42:06 (02:04:24) (chat)  Nightbot: Записи стримов на Ютубе тут https://www.youtube.com/channel/UCGxQiNmp179gIJRCs47IRRg
20:42:14 (02:04:32) (chat)  sloyka_s_sirom: @Tanya_MONSTER_Games спасибо <3
20:42:36 (02:04:54) (chat)  vnikopol: сохранись
20:42:50 (02:05:08) (chat)  anzay_ru: никто мотоцикл не оставил?
20:43:04 (02:05:22) (chat)  Nightbot: Команды для бота в нашем чате: !time !game !youtube !vk !discord !alert
20:43:07 (02:05:25) (chat)  Abrams05: @ArtGamesLP Тёма отсортируй барахло а то упадет
20:43:12 (02:05:30) (chat)  Snejok368: !time
20:43:12 (02:05:30) (chat)  Nightbot: Стрим идет уже 2 hours 5 minutes 42 seconds
20:43:15 (02:05:33) (chat)  trom6one: лестница
20:43:20 (02:05:38) (chat)  Andjey_Kharkov: Лестница одна вроде была
20:43:22 (02:05:40) (chat)  gwen_devil: лесенку
20:43:24 (02:05:42) (chat)  sloyka_s_sirom: @ArtGamesLP в следующий раз, когда буду переезжать на съемную квартиру, позову Норма LUL
20:43:26 (02:05:44) (chat)  Kalitvenic: зонтик, надо было брать... artgam2Iq20 artgam2MLG
20:43:26 (02:05:45) (chat)  vnikopol: если крюк с веревхзй закрепить
20:43:30 (02:05:49) (chat)  Gh0st_Head: Вечер добрый Тема, чат jstMojito jstRofl
20:43:33 (02:05:51) (chat)  call_me_dyadya: Ты не пройдеешь
20:43:41 (02:05:59) (chat)  RiskayushuiPyosik: blobDance blobDance blobDance
20:43:43 (02:06:02) (chat)  Luminus_fox: @Gh0st_Head Гостя! evosayNyamka bufaLove GivePLZ
20:43:50 (02:06:08) (chat)  aaarggh: Лесенкой, если есть
20:43:52 (02:06:11) (chat)  sloyka_s_sirom: Кстати, сегодня ровно год, как я начал самостоятельно жить PogChamp
20:43:58 (02:06:16) (chat)  mamka_dan: @Gh0st_Head Привет! VoHiYo
20:44:13 (02:06:32) (chat)  Luminus_fox: @sloyka_s_sirom SeemsGood
20:44:22 (02:06:40) (chat)  Snejok368: ого, не унесешь столько))
20:44:40 (02:06:58) (chat)  Snejok368: у меня бы давно спина треснула)
20:44:41 (02:07:00) (chat)  Gh0st_Head: @Luminus_fox Люмощка привет jstLove GivePLZ @mamka_dan привет jstLove
20:44:46 (02:07:05) (chat)  fantik_2009: blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance
20:45:09 (02:07:27) (chat)  Nightbot: Дорогой зритель, ты можешь поддержать стримера по этой ссылочке, спасибо. https://donatepay.ru/don/artgames Топ донатер в конце месяца может выбрать игру для стрима.
20:45:12 (02:07:30) (chat)  jubi_ju: зная нашу удачу, щас кто-то упадёт LUL
20:45:13 (02:07:31) (chat)  sloyka_s_sirom: @Gh0st_Head хай
20:45:14 (02:07:32) (chat)  deathvades: AXE с запахом ремонтного спрея?
20:45:24 (02:07:42) (chat)  Noelle666: @Gh0st_Head GivePLZ
20:45:25 (02:07:44) (chat)  trom6one: носорог
20:45:36 (02:07:55) (chat)  XerkusDotPro: WD40 срочно!
20:45:40 (02:07:58) (chat)  Snejok368: это же огромный хиральный индикатор как у него на спине
20:45:40 (02:07:58) (chat)  tamagotchi991: он бегает как индюшка)
20:45:44 (02:08:03) (chat)  anzay_ru: кто занял ник "муравей", тот знал, что делал
20:46:18 (02:08:37) (chat)  Gh0st_Head: @sloyka_s_sirom Дарова Слой dwillisHi artgam2AGHeavyHorns @Noelle666 Привет jstLove GivePLZ
20:46:32 (02:08:50) (chat)  Andjey_Kharkov: Главное лишь бы сюжетный груз жив был
20:46:41 (02:08:59) (chat)  filyainterteiment: Кодзима вообщет Гений
20:46:43 (02:09:01) (chat)  filyainterteiment: Kappa
20:46:47 (02:09:05) (chat)  Snejok368: а ты много по сюжету уже прошел?
20:47:14 (02:09:32) (chat)  filyainterteiment: Вооооот
20:47:16 (02:09:34) (chat)  Luminus_fox: Какой-то хиральный у вас прибор. LUL
20:47:19 (02:09:37) (chat)  filyainterteiment: Драсте
20:47:20 (02:09:38) (chat)  sloyka_s_sirom: @ArtGamesLP я так понимаю, что все города теперь под землей
20:47:21 (02:09:40) (chat)  filyainterteiment: люди
20:47:24 (02:09:42) (chat)  mrPotatoBringer: о, спам вылечился Keepo
20:47:27 (02:09:46) (chat)  anzay_ru: S+
20:47:32 (02:09:51) (chat)  vnikopol: можно пособирать металл по окрестностям
20:48:02 (02:10:20) (chat)  Snejok368: smoking sexy style!
20:48:12 (02:10:30) (chat)  mamka_dan: @mrPotatoBringer Привет! VoHiYo
20:48:14 (02:10:32) (chat)  Noelle666: POGSLIDE
20:48:16 (02:10:34) (chat)  sloyka_s_sirom: Ну хоть не насильник LUL
20:48:17 (02:10:35) (chat)  aaarggh: Оооооо это эролсон Хью - основатель Acronym (бренд одежды, который присутствует в этой игре)
20:48:20 (02:10:38) (chat)  mrPotatoBringer: @mamka_dan pepeJAM
20:48:21 (02:10:39) (chat)  Gh0st_Head: jstRofl
20:48:30 (02:10:48) (chat)  trom6one: подходишь к пунку доставки и как таксист накручиваешь счетчик, бегая по кругу LUL
20:48:38 (02:10:56) (chat)  heavenkot: Носильщик звучит гордо!
20:49:17 (02:11:35) (chat)  deathvades: @ArtGamesLP представь какое резюме теперь можно в яндекс еду предоставить. С руками оторвут
20:49:35 (02:11:53) (chat)  trom6one: афигеть там еще територий открыть можно
20:49:36 (02:11:55) (chat)  anzay_ru: Таскальщик звучит эпично.
20:49:55 (02:12:13) (chat)  jubi_ju: PogChamp PogChamp
20:50:08 (02:12:26) (chat)  Nightbot: По моему промокоду ARTGAMES ты получишь бонус до 6500 RUB при первом депозите - http://bit.ly/2Gh0MpU
20:50:10 (02:12:28) (chat)  Snejok368: а платят все еще обувью))
20:50:46 (02:13:05) (chat)  jubi_ju: маман Kappa
20:51:16 (02:13:34) (chat)  trom6one: LUL
20:51:17 (02:13:36) (chat)  Noelle666: LUL LUL LUL
20:51:18 (02:13:37) (chat)  jubi_ju: CoolStoryBob CoolStoryBob CoolStoryBob
20:51:19 (02:13:37) (chat)  mamka_dan: LUL LUL
20:51:20 (02:13:39) (chat)  mrsinnerman: peepoSpeed
20:51:23 (02:13:41) (chat)  jubi_ju: лучше уж погода!
20:51:23 (02:13:41) (chat)  fantik_2009: waitWHAT
20:51:23 (02:13:41) (chat)  heavenkot: CoolStoryBob CoolStoryBob
20:51:25 (02:13:44) (chat)  Roland_god: KappaPride KappaPride KappaPride
20:51:27 (02:13:45) (chat)  nafanja1203: LUL
20:51:33 (02:13:51) (chat)  tamagotchi991: KappaPride
20:51:36 (02:13:55) (chat)  mamka_dan: @mrsinnerman Привет VoHiYo
20:51:48 (02:14:06) (chat)  Shepard_alive: LUL LUL LUL
20:51:54 (02:14:12) (chat)  mrsinnerman: @mamka_dan <3
20:52:11 (02:14:29) (chat)  Nightbot: @itaryh -> Much better. [stop spamming symbols] [warning]
20:52:23 (02:14:41) (chat)  anzay_ru: мотоцикл верни чуваку
20:52:24 (02:14:43) (chat)  Noelle666: @mrsinnerman GivePLZ
20:52:34 (02:14:53) (chat)  itaryh: @tanya_monster_games 🤔
20:52:40 (02:14:59) (chat)  mrsinnerman: @Noelle666 <3
20:53:14 (02:15:32) (chat)  jubi_ju: отопление, ват?
20:53:26 (02:15:44) (chat)  XerkusDotPro: отопление это актуально
20:53:34 (02:15:53) (chat)  Tanya_MONSTER_Games: @itaryh, что?
20:53:46 (02:16:04) (chat)  Luminus_fox: Урааа!!! Строительство базы! Гений!
20:53:48 (02:16:07) (chat)  anzay_ru: сеть убежищ Хилтон
20:54:13 (02:16:31) (chat)  itaryh: @tanya_monster_games вопросы по Фрейду CarlSmile
20:54:19 (02:16:37) (chat)  Gh0st_Head: Gh0st_Head gifted a Tier 1 sub to mrsinnerman! They have given 75 Gift Subs in the channel! 
20:54:25 (02:16:43) (chat)  mamka_dan: artgam2AGHeavyHorns artgam2AGHeavyHorns artgam2AGHeavyHorns
20:54:26 (02:16:45) (chat)  nafanja1203: artgam2AGHeavyHorns artgam2AGHeavyHorns artgam2AGHeavyHorns
20:54:28 (02:16:47) (chat)  NiteDunmer: artgam2AGHeavyHorns artgam2AGHeavyHorns artgam2AGHeavyHorns artgam2AGHeavyHorns
20:54:31 (02:16:50) (chat)  sloyka_s_sirom: artgam2AGHeavyHorns artgam2AGHeavyHorns artgam2AGHeavyHorns
20:54:32 (02:16:50) (chat)  Noelle666: artgam2AGHeavyHorns artgam2AGHeavyHorns artgam2AGHeavyHorns
20:54:34 (02:16:52) (chat)  Tiringosa: artgam2AGHeavyHorns artgam2AGHeavyHorns artgam2AGHeavyHorns
20:54:37 (02:16:55) (chat)  Gh0st_Head: artgam2AGHeavyHorns artgam2AGHeavyHorns artgam2AGHeavyHorns artgam2AGHeavyHorns
20:54:37 (02:16:55) (chat)  greatday007: artgam2AGHeavyHorns artgam2AGHeavyHorns artgam2AGHeavyHorns artgam2AGHeavyHorns artgam2Sexy
20:54:41 (02:16:59) (chat)  Luminus_fox: artgam2AGHeavyHorns artgam2AGHeavyHorns artgam2AGHeavyHorns artgam2AGHeavyHorns
20:54:44 (02:17:02) (chat)  nafanja1203: @gh0st_head Хэллоу <3
20:54:44 (02:17:03) (chat)  mrsinnerman: Гоооост billyReady billyReady billyReady billyReady billyReady
20:54:51 (02:17:09) (chat)  heavenkot: artgam2AGHeavyHorns artgam2AGHeavyHorns
20:54:51 (02:17:09) (chat)  Luminus_fox: @mrsinnerman artgam2AGHeavyHorns bufaLove
20:55:02 (02:17:21) (chat)  Luminus_fox: @nafanja1203 Нафааняя evosayNyamka evosayNyamka
20:55:14 (02:17:33) (chat)  Gh0st_Head: @mrsinnerman artgam2Sexy <3
20:55:19 (02:17:37) (chat)  trom6one: сделай ПоXотливый Компухтер v2
20:55:33 (02:17:51) (chat)  Gh0st_Head: @nafanja1203 Привет jstLove
20:55:40 (02:17:58) (chat)  mrsinnerman: @Gh0st_Head ricardoFlick <3
20:55:50 (02:18:08) (chat)  nafanja1203: @luminus_fox Приветик bufaKojimaGenius
20:56:41 (02:18:59) (chat)  KurokiUmi: Тём, зачем нам на спине две пушки?
20:56:45 (02:19:03) (chat)  gwen_devil: го в душ
20:56:58 (02:19:17) (chat)  anzay_ru: ты там гранаты использовал
20:57:19 (02:19:37) (chat)  KurokiUmi: Они типа одноразовые?
20:58:09 (02:20:27) (chat)  XerkusDotPro: Посмотрите на своего мущину, а теперь на меня! Да, у меня ржавая рухлядь. AXE эффект
20:59:17 (02:21:35) (chat)  Snejok368: Сэм портер Бриджес. Яндекс доставка
20:59:25 (02:21:44) (chat)  Kalitvenic: сегодня, исполняется 15 лет - Need for Speed: Underground 2
20:59:48 (02:22:07) (chat)  Snejok368: о ром дом дом
20:59:54 (02:22:12) (chat)  itaryh: «Холоп, строй давай!»
20:59:55 (02:22:14) (chat)  SLAMmyRUS: там по квесты построить надо
21:00:03 (02:22:22) (chat)  SLAMmyRUS: на карте отмечено
21:00:05 (02:22:24) (chat)  anzay_ru: здесь строить могут только экстра носильщики
21:00:11 (02:22:30) (chat)  XerkusDotPro: да нее, она не такая старая!
21:00:13 (02:22:31) (chat)  Snejok368: дором дом дом, оромдом, гет лоу лоу
